 IPER  ISTEP           DLEN           ILYR    IROW   ICOL                     STA                     FBC                     CST                     IBE                     IBV                     WST                     CNH                     ABER
 1          1          0.38313807       1          1          1          -0.00000000e+00  1.17157361e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -1.17157361e-02  0.00000000e+00  
 1          1          0.38313807       1          1          2          -0.00000000e+00  -2.34314723e-02  0.00000000e+00   0.00000000e+00   2.34314723e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          1          0.38313807       1          1          3          -0.00000000e+00  1.17157361e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -1.17157361e-02  0.00000000e+00  
 1          2          0.40229497       1          1          1          -0.00000000e+00  1.00502046e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -1.00502046e-02  0.00000000e+00  
 1          2          0.40229497       1          1          2          -0.00000000e+00  -2.01004092e-02  0.00000000e+00   0.00000000e+00   2.01004092e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          2          0.40229497       1          1          3          -0.00000000e+00  1.00502046e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -1.00502046e-02  0.00000000e+00  
 1          3          0.42240972       1          1          1          -0.00000000e+00  8.77072957e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -8.77072957e-03  0.00000000e+00  
 1          3          0.42240972       1          1          2          -0.00000000e+00  -1.75414591e-02  0.00000000e+00   0.00000000e+00   1.75414591e-02   0.00000000e+00   0.00000000e+00   2.93105624e-18  
 1          3          0.42240972       1          1          3          -0.00000000e+00  8.77072957e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -8.77072957e-03  0.00000000e+00  
 1          4          0.44353021       1          1          1          -0.00000000e+00  7.79456202e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -7.79456202e-03  0.00000000e+00  
 1          4          0.44353021       1          1          2          -0.00000000e+00  -1.55891240e-02  0.00000000e+00   0.00000000e+00   1.55891240e-02   0.00000000e+00   0.00000000e+00   3.07760905e-18  
 1          4          0.44353021       1          1          3          -0.00000000e+00  7.79456202e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -7.79456202e-03  0.00000000e+00  
 1          5          0.46570672       1          1          1          -0.00000000e+00  7.05392148e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -7.05392148e-03  0.00000000e+00  
 1          5          0.46570672       1          1          2          -0.00000000e+00  -1.41078430e-02  0.00000000e+00   0.00000000e+00   1.41078430e-02   0.00000000e+00   0.00000000e+00   1.61574475e-18  
 1          5          0.46570672       1          1          3          -0.00000000e+00  7.05392148e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -7.05392148e-03  0.00000000e+00  
 1          6          0.48899205       1          1          1          -0.00000000e+00  6.49444678e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -6.49444678e-03  0.00000000e+00  
 1          6          0.48899205       1          1          2          -0.00000000e+00  -1.29888936e-02  0.00000000e+00   0.00000000e+00   1.29888936e-02   0.00000000e+00   0.00000000e+00   1.69653199e-18  
 1          6          0.48899205       1          1          3          -0.00000000e+00  6.49444678e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -6.49444678e-03  0.00000000e+00  
 1          7          0.51344166       1          1          1          -0.00000000e+00  6.07334420e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -6.07334420e-03  0.00000000e+00  
 1          7          0.51344166       1          1          2          -0.00000000e+00  -1.21466884e-02  0.00000000e+00   0.00000000e+00   1.21466884e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          7          0.51344166       1          1          3          -0.00000000e+00  6.07334420e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -6.07334420e-03  0.00000000e+00  
 1          8          0.53911374       1          1          1          -0.00000000e+00  5.75747602e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -5.75747602e-03  0.00000000e+00  
 1          8          0.53911374       1          1          2          -0.00000000e+00  -1.15149520e-02  0.00000000e+00   0.00000000e+00   1.15149520e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          8          0.53911374       1          1          3          -0.00000000e+00  5.75747602e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -5.75747602e-03  0.00000000e+00  
 1          9          0.56606943       1          1          1          -0.00000000e+00  5.52154668e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -5.52154668e-03  0.00000000e+00  
 1          9          0.56606943       1          1          2          -0.00000000e+00  -1.10430934e-02  0.00000000e+00   0.00000000e+00   1.10430934e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          9          0.56606943       1          1          3          -0.00000000e+00  5.52154668e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -5.52154668e-03  0.00000000e+00  
 1          10         0.59437290       1          1          1          -0.00000000e+00  5.34647928e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -5.34647928e-03  0.00000000e+00  
 1          10         0.59437290       1          1          2          -0.00000000e+00  -1.06929586e-02  0.00000000e+00   0.00000000e+00   1.06929586e-02   0.00000000e+00   0.00000000e+00   2.06214524e-18  
 1          10         0.59437290       1          1          3          -0.00000000e+00  5.34647928e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -5.34647928e-03  0.00000000e+00  
 1          11         0.62409154       1          1          1          -0.00000000e+00  5.21802560e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -5.21802560e-03  0.00000000e+00  
 1          11         0.62409154       1          1          2          -0.00000000e+00  -1.04360512e-02  0.00000000e+00   0.00000000e+00   1.04360512e-02   0.00000000e+00   0.00000000e+00   -2.16525250e-18 
 1          11         0.62409154       1          1          3          -0.00000000e+00  5.21802560e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -5.21802560e-03  0.00000000e+00  
 1          12         0.65529612       1          1          1          -0.00000000e+00  5.12561841e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -5.12561841e-03  0.00000000e+00  
 1          12         0.65529612       1          1          2          -0.00000000e+00  -1.02512368e-02  0.00000000e+00   0.00000000e+00   1.02512368e-02   0.00000000e+00   0.00000000e+00   2.27351513e-18  
 1          12         0.65529612       1          1          3          -0.00000000e+00  5.12561841e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -5.12561841e-03  0.00000000e+00  
