 IPER  ISTEP  TLEN  ILYR  STAIN  TOPIN  BOTIN  CSTIN  IBEIN  IBVIN  WSTIN  CNHIN  STAOUT  TOPOUT  BOTOUT  CSTOUT  IBEOUT  IBVOUT  WSTOUT  CNHOUT  ABER
 1          1          0.38313807       1          0                0                0                0                0                0.002903987      0                0                0                0                0                0                0                0                0                0.002903987      0               
 1          2          0.78543304       1          0                0                0                0                0                0.0059445415     0                0                0                0                0                0                0                0                0                0.0059445415     0               
 1          3          1.2078428        1          0                0                0                0                0                0.009127649      0                0                0                0                0                0                0                0                0                0.009127649      -4.3368087e-19  
 1          4          1.651373         1          0                0                0                0                0                0.012459514      0                0                0                0                0                0                0                0                0                0.012459514      -4.3368087e-19  
 1          5          2.1170797        1          0                0                0                0                0                0.015946564      0                0                0                0                0                0                0                0                0                0.015946564      0               
 1          6          2.6060717        1          0                0                0                0                0                0.019595454      0                0                0                0                0                0                0                0                0                0.019595454      4.3368087e-19   
 1          7          3.1195134        1          0                0                0                0                0                0.023413065      0                0                0                0                0                0                0                0                0                0.023413065      8.6736174e-19   
 1          8          3.6586271        1          0                0                0                0                0                0.027406513      0                0                0                0                0                0                2.4422522e-17    0                0                0.027406513      8.6736174e-19   
 1          9          4.2246966        1          0                0                0                0                0                0.031583144      0                0                0                0                0                0                2.4422522e-17    0                0                0.031583144      8.6736174e-19   
 1          10         4.8190695        1          0                0                0                0                0                0.035950539      0                0                0                0                0                0                2.4422522e-17    0                0                0.035950539      8.6736174e-19   
 1          11         5.443161         1          0                0                0                0                0                0.040516513      0                0                0                0                0                0                3.6633782e-17    0                0                0.040516513      8.6736174e-19   
 1          12         6.0984571        1          0                0                0                0                0                0.045289115      0                0                0                0                0                0                6.1056304e-17    0                0                0.045289115      8.6736174e-19   
 1          13         6.7865181        1          0                0                0                0                0                0.050276623      0                0                0                0                0                0                6.1056304e-17    0                0                0.050276623      8.6736174e-19   
 1          14         7.508982         1          0                0                0                0                0                0.055487548      0                0                0                0                0                0                6.1056304e-17    0                0                0.055487548      8.6736174e-19   
 1          15         8.2675692        1          0                0                0                0                2.4422522e-17    0.060930622      0                0                0                0                0                0                6.1056304e-17    0                0                0.060930622      8.6736174e-19   
 1          16         9.0640857        1          0                0                0                0                2.4422522e-17    0.0666148        0                0                0                0                0                0                6.1056304e-17    0                0                0.0666148        8.6736174e-19   
 1          17         9.9004281        1          0                0                0                0                2.4422522e-17    0.072549248      0                0                0                0                0                0                6.1056304e-17    0                0                0.072549248      8.6736174e-19   
 1          18         10.778588        1          0                0                0                0                2.4422522e-17    0.078743338      0                0                0                0                0                0                6.1056304e-17    0                0                0.078743338      1.7347235e-18   
 1          19         11.700655        1          0                0                0                0                2.4422522e-17    0.085206638      0                0                0                0                0                0                6.1056304e-17    0                0                0.085206638      1.7347235e-18   
 1          20         12.668826        1          0                0                0                0                2.4422522e-17    0.091948901      0                0                0                0                0                0                6.1056304e-17    0                0                0.091948901      1.7347235e-18   
 1          21         13.685405        1          0                0                0                0                2.4422522e-17    0.09898005       0                0                0                0                0                0                6.1056304e-17    0                0                0.09898005       1.7347235e-18   
 1          22         14.752814        1          0                0                0                0                2.4422522e-17    0.10631017       0                0                0                0                0                0                6.1056304e-17    0                0                0.10631017       1.7347235e-18   
 1          23         15.873592        1          0                0                0                0                2.4422522e-17    0.11394947       0                0                0                0                0                0                7.3267565e-17    0                0                0.11394947       2.6020852e-18   
 1          24         17.05041         1          0                0                0                0                2.4422522e-17    0.1219083        0                0                0                0                0                0                7.3267565e-17    0                0                0.1219083        2.6020852e-18   
 1          25         18.286069        1          0                0                0                0                2.4422522e-17    0.1301971        0                0                0                0                0                0                7.3267565e-17    0                0                0.1301971        2.6020852e-18   
 1          26         19.58351         1          0                0                0                0                2.4422522e-17    0.13882639       0                0                0                0                0                0                7.3267565e-17    0                0                0.13882639       4.3368087e-18   
 1          27         20.945824        1          0                0                0                0                2.4422522e-17    0.14780672       0                0                0                0                0                0                8.5478825e-17    0                0                0.14780672       4.3368087e-18   
 1          28         22.376253        1          0                0                0                0                2.4422522e-17    0.1571487        0                0                0                0                0                0                8.5478825e-17    0                0                0.1571487        4.3368087e-18   
 1          29         23.878204        1          0                0                0                0                2.4422522e-17    0.1668629        0                0                0                0                0                0                8.5478825e-17    0                0                0.1668629        4.3368087e-18   
 1          30         25.455252        1          0                0                0                0                2.4422522e-17    0.17695987       0                0                0                0                0                0                8.5478825e-17    0                0                0.17695987       4.3368087e-18   
 1          31         27.111152        1          0                0                0                0                2.4422522e-17    0.18745008       0                0                0                0                0                0                8.5478825e-17    0                0                0.18745008       4.3368087e-18   
 1          32         28.849848        1          0                0                0                0                2.4422522e-17    0.19834388       0                0                0                0                0                0                8.5478825e-17    0                0                0.19834388       4.3368087e-18   
 1          33         30.675479        1          0                0                0                0                2.4422522e-17    0.20965149       0                0                0                0                0                0                8.5478825e-17    0                0                0.20965149       4.3368087e-18   
 1          34         32.592391        1          0                0                0                0                2.4422522e-17    0.22138293       0                0                0                0                0                0                8.5478825e-17    0                0                0.22138293       2.6020852e-18   
 1          35         34.605148        1          0                0                0                0                2.4422522e-17    0.23354798       0                0                0                0                0                0                8.5478825e-17    0                0                0.23354798       8.6736174e-19   
 1          36         36.718544        1          0                0                0                0                2.4422522e-17    0.24615617       0                0                0                0                0                0                8.5478825e-17    0                0                0.24615617       8.6736174e-19   
 1          37         38.937609        1          0                0                0                0                2.4422522e-17    0.25921671       0                0                0                0                0                0                8.5478825e-17    0                0                0.25921671       -8.6736174e-19  
 1          38         41.267627        1          0                0                0                0                2.4422522e-17    0.27273842       0                0                0                0                0                0                8.5478825e-17    0                0                0.27273842       -8.6736174e-19  
 1          39         43.714147        1          0                0                0                0                2.4422522e-17    0.28672976       0                0                0                0                0                0                8.5478825e-17    0                0                0.28672976       -8.6736174e-19  
 1          40         46.282992        1          0                0                0                0                2.4422522e-17    0.30119872       0                0                0                0                0                0                8.5478825e-17    0                0                0.30119872       -8.6736174e-19  
 1          41         48.98028         1          0                0                0                0                2.4422522e-17    0.3161528        0                0                0                0                0                0                8.5478825e-17    0                0                0.3161528        -8.6736174e-19  
 1          42         51.812432        1          0                0                0                0                2.4422522e-17    0.33159901       0                0                0                0                0                0                8.5478825e-17    0                0                0.33159901       -8.6736174e-19  
 1          43         54.786192        1          0                0                0                0                2.4422522e-17    0.34754375       0                0                0                0                0                0                8.5478825e-17    0                0                0.34754375       -8.6736174e-19  
 1          44         57.908639        1          0                0                0                0                2.4422522e-17    0.36399287       0                0                0                0                0                0                8.5478825e-17    0                0                0.36399287       -8.6736174e-19  
 1          45         61.187209        1          0                0                0                0                2.4422522e-17    0.38095158       0                0                0                0                0                0                8.5478825e-17    0                0                0.38095158       -8.6736174e-19  
 1          46         64.629708        1          0                0                0                0                2.4422522e-17    0.39842446       0                0                0                0                0                0                8.5478825e-17    0                0                0.39842446       -8.6736174e-19  
 1          47         68.244331        1          0                0                0                0                2.4422522e-17    0.41641544       0                0                0                0                0                0                8.5478825e-17    0                0                0.41641544       2.6020852e-18   
 1          48         72.039686        1          0                0                0                0                2.4422522e-17    0.43492778       0                0                0                0                0                0                8.5478825e-17    0                0                0.43492778       2.6020852e-18   
 1          49         76.024808        1          0                0                0                0                2.4422522e-17    0.45396409       0                0                0                0                0                0                8.5478825e-17    0                0                0.45396409       2.6020852e-18   
 1          50         80.209187        1          0                0                0                0                2.4422522e-17    0.47352633       0                0                0                0                0                0                8.5478825e-17    0                0                0.47352633       6.0715322e-18   
 1          51         84.602784        1          0                0                0                0                2.4422522e-17    0.49361585       0                0                0                0                0                0                8.5478825e-17    0                0                0.49361585       6.0715322e-18   
 1          52         89.216062        1          0                0                0                0                2.4422522e-17    0.5142334        0                0                0                0                0                0                8.5478825e-17    0                0                0.5142334        6.0715322e-18   
 1          53         94.060003        1          0                0                0                0                2.4422522e-17    0.5353792        0                0                0                0                0                0                8.5478825e-17    0                0                0.5353792        6.0715322e-18   
 1          54         99.146141        1          0                0                0                0                2.4422522e-17    0.55705297       0                0                0                0                0                0                8.5478825e-17    0                0                0.55705297       6.0715322e-18   
 1          55         104.48659        1          0                0                0                0                2.4422522e-17    0.57925404       0                0                0                0                0                0                8.5478825e-17    0                0                0.57925404       6.0715322e-18   
 1          56         110.09405        1          0                0                0                0                2.4422522e-17    0.60198139       0                0                0                0                0                0                8.5478825e-17    0                0                0.60198139       9.5409791e-18   
 1          57         115.98189        1          0                0                0                0                2.4422522e-17    0.62523379       0                0                0                0                0                0                8.5478825e-17    0                0                0.62523379       6.0715322e-18   
 1          58         122.16413        1          0                0                0                0                2.4422522e-17    0.64900988       0                0                0                0                0                0                8.5478825e-17    0                0                0.64900988       6.0715322e-18   
 1          59         128.65547        1          0                0                0                0                2.4422522e-17    0.67330828       0                0                0                0                0                0                8.5478825e-17    0                0                0.67330828       6.0715322e-18   
 1          60         135.47138        1          0                0                0                0                2.4422522e-17    0.69812775       0                0                0                0                0                0                8.5478825e-17    0                0                0.69812775       6.0715322e-18   
 1          61         142.62809        1          0                0                0                0                2.4422522e-17    0.7234673        0                0                0                0                0                0                8.5478825e-17    0                0                0.7234673        6.0715322e-18   
 1          62         150.14263        1          0                0                0                0                2.4422522e-17    0.74932635       0                0                0                0                0                0                8.5478825e-17    0                0                0.74932635       6.0715322e-18   
 1          63         158.0329         1          0                0                0                0                2.4422522e-17    0.77570486       0                0                0                0                0                0                8.5478825e-17    0                0                0.77570486       6.0715322e-18   
 1          64         166.31769        1          0                0                0                0                2.4422522e-17    0.80260348       0                0                0                0                0                0                8.5478825e-17    0                0                0.80260348       6.0715322e-18   
 1          65         175.01671        1          0                0                0                0                2.4422522e-17    0.83002368       0                0                0                0                0                0                8.5478825e-17    0                0                0.83002368       6.0715322e-18   
 1          66         184.15068        1          0                0                0                0                2.4422522e-17    0.85796795       0                0                0                0                0                0                8.5478825e-17    0                0                0.85796795       2.6020852e-18   
 1          67         193.74135        1          0                0                0                0                2.4422522e-17    0.88643983       0                0                0                0                0                0                8.5478825e-17    0                0                0.88643983       2.6020852e-18   
 1          68         203.81156        1          0                0                0                0                2.4422522e-17    0.9154441        0                0                0                0                0                0                8.5478825e-17    0                0                0.9154441        2.6020852e-18   
 1          69         214.38528        1          0                0                0                0                2.4422522e-17    0.94498689       0                0                0                0                0                0                8.5478825e-17    0                0                0.94498689       2.6020852e-18   
 1          70         225.48768        1          0                0                0                0                2.4422522e-17    0.97507572       0                0                0                0                0                0                8.5478825e-17    0                0                0.97507572       2.6020852e-18   
 1          71         237.1452         1          0                0                0                0                2.4422522e-17    1.0057196        0                0                0                0                0                0                8.5478825e-17    0                0                1.0057196        2.6020852e-18   
 1          72         249.3856         1          0                0                0                0                2.4422522e-17    1.0369291        0                0                0                0                0                0                8.5478825e-17    0                0                1.0369291        2.6020852e-18   
 1          73         262.23802        1          0                0                0                0                2.4422522e-17    1.0687162        0                0                0                0                0                0                8.5478825e-17    0                0                1.0687162        9.5409791e-18   
 1          74         275.73305        1          0                0                0                0                2.4422522e-17    1.1010947        0                0                0                0                0                0                8.5478825e-17    0                0                1.1010947        9.5409791e-18   
 1          75         289.90284        1          0                0                0                0                2.4422522e-17    1.1340798        0                0                0                0                0                0                8.5478825e-17    0                0                1.1340798        9.5409791e-18   
 1          76         304.78113        1          0                0                0                0                2.4422522e-17    1.1676881        0                0                0                0                0                0                8.5478825e-17    0                0                1.1676881        2.6020852e-18   
 1          77         320.40332        1          0                0                0                0                2.4422522e-17    1.2019378        0                0                0                0                0                0                8.5478825e-17    0                0                1.2019378        2.6020852e-18   
 1          78         336.80662        1          0                0                0                0                2.4422522e-17    1.2368484        0                0                0                0                0                0                8.5478825e-17    0                0                1.2368484        2.6020852e-18   
 1          79         354.03009        1          0                0                0                0                2.4422522e-17    1.2724409        0                0                0                0                0                0                8.5478825e-17    0                0                1.2724409        2.6020852e-18   
 1          80         372.11474        1          0                0                0                0                2.4422522e-17    1.308737         0                0                0                0                0                0                8.5478825e-17    0                0                1.308737         2.6020852e-18   
 1          81         391.10361        1          0                0                0                0                2.4422522e-17    1.3457601        0                0                0                0                0                0                8.5478825e-17    0                0                1.3457601        2.6020852e-18   
 1          82         411.04193        1          0                0                0                0                2.4422522e-17    1.383534         0                0                0                0                0                0                8.5478825e-17    0                0                1.383534         2.6020852e-18   
 1          83         431.97716        1          0                0                0                0                2.4422522e-17    1.4220838        0                0                0                0                0                0                8.5478825e-17    0                0                1.4220838        2.6020852e-18   
 1          84         453.95916        1          0                0                0                0                2.4422522e-17    1.4614351        0                0                0                0                0                0                8.5478825e-17    0                0                1.4614351        2.6020852e-18   
 1          85         477.04026        1          0                0                0                0                2.4422522e-17    1.5016144        0                0                0                0                0                0                8.5478825e-17    0                0                1.5016144        -4.3368087e-18  
 1          86         501.27541        1          0                0                0                0                2.4422522e-17    1.5426486        0                0                0                0                0                0                8.5478825e-17    0                0                1.5426486        -4.3368087e-18  
 1          87         526.72232        1          0                0                0                0                2.4422522e-17    1.5845652        0                0                0                0                0                0                8.5478825e-17    0                0                1.5845652        -4.3368087e-18  
 1          88         553.44157        1          0                0                0                0                2.4422522e-17    1.6273923        0                0                0                0                0                0                8.5478825e-17    0                0                1.6273923        -4.3368087e-18  
 1          89         581.49679        1          0                0                0                0                2.4422522e-17    1.6711583        0                0                0                0                0                0                8.5478825e-17    0                0                1.6711583        -4.3368087e-18  
 1          90         610.95476        1          0                0                0                0                2.4422522e-17    1.7158921        0                0                0                0                0                0                8.5478825e-17    0                0                1.7158921        -4.3368087e-18  
 1          91         641.88564        1          0                0                0                0                2.4422522e-17    1.7616228        0                0                0                0                0                0                8.5478825e-17    0                0                1.7616228        -4.3368087e-18  
 1          92         674.36306        1          0                0                0                0                2.4422522e-17    1.8083802        0                0                0                0                0                0                8.5478825e-17    0                0                1.8083802        -4.3368087e-18  
 1          93         708.46435        1          0                0                0                0                2.4422522e-17    1.8561943        0                0                0                0                0                0                8.5478825e-17    0                0                1.8561943        -4.3368087e-18  
 1          94         744.27071        1          0                0                0                0                2.4422522e-17    1.9050954        0                0                0                0                0                0                8.5478825e-17    0                0                1.9050954        -1.1275703e-17  
 1          95         781.86738        1          0                0                0                0                2.4422522e-17    1.9551147        0                0                0                0                0                0                8.5478825e-17    0                0                1.9551147        -1.1275703e-17  
 1          96         821.34389        1          0                0                0                0                2.4422522e-17    2.0062833        0                0                0                0                0                0                8.5478825e-17    0                0                2.0062833        -1.1275703e-17  
 1          97         862.79422        1          0                0                0                0                2.4422522e-17    2.0586333        0                0                0                0                0                0                8.5478825e-17    0                0                2.0586333        -4.3368087e-18  
 1          98         906.31707        1          0                0                0                0                2.4422522e-17    2.112197         0                0                0                0                0                0                8.5478825e-17    0                0                2.112197         -4.3368087e-18  
 1          99         952.01606        1          0                0                0                0                2.4422522e-17    2.1670075        0                0                0                0                0                0                8.5478825e-17    0                0                2.1670075        -4.3368087e-18  
 1          100        1000             1          0                0                0                0                2.4422522e-17    2.2230984        0                0                0                0                0                0                8.5478825e-17    0                0                2.2230984        -4.3368087e-18  
