 IPER  ISTEP  TLEN  ILYR  IROW  ICOL  DISP  COM  TOTGL  EST
 1          1          0.38313807       1          1          1          0                0                2000             1000            
 1          1          0.38313807       1          1          2          0.002903987      0.002903987      2000             1000            
 1          1          0.38313807       1          1          3          0                0                2000             1000            
 1          2          0.78543304       1          1          1          0                0                2000             1000            
 1          2          0.78543304       1          1          2          0.0059445415     0.0059445415     2000             1000            
 1          2          0.78543304       1          1          3          0                0                2000             1000            
 1          3          1.2078428        1          1          1          0                0                2000             1000            
 1          3          1.2078428        1          1          2          0.009127649      0.009127649      2000             1000            
 1          3          1.2078428        1          1          3          0                0                2000             1000            
 1          4          1.651373         1          1          1          0                0                2000             1000            
 1          4          1.651373         1          1          2          0.012459514      0.012459514      2000             1000            
 1          4          1.651373         1          1          3          0                0                2000             1000            
 1          5          2.1170797        1          1          1          0                0                2000             1000            
 1          5          2.1170797        1          1          2          0.015946564      0.015946564      2000             1000            
 1          5          2.1170797        1          1          3          0                0                2000             1000            
 1          6          2.6060717        1          1          1          0                0                2000             1000            
 1          6          2.6060717        1          1          2          0.019595454      0.019595454      2000             1000            
 1          6          2.6060717        1          1          3          0                0                2000             1000            
 1          7          3.1195134        1          1          1          0                0                2000             1000            
 1          7          3.1195134        1          1          2          0.023413065      0.023413065      2000             1000            
 1          7          3.1195134        1          1          3          0                0                2000             1000            
 1          8          3.6586271        1          1          1          0                0                2000             1000            
 1          8          3.6586271        1          1          2          0.027406513      0.027406513      2000             1000            
 1          8          3.6586271        1          1          3          0                0                2000             1000            
 1          9          4.2246966        1          1          1          0                0                2000             1000            
 1          9          4.2246966        1          1          2          0.031583144      0.031583144      2000             1000            
 1          9          4.2246966        1          1          3          0                0                2000             1000            
 1          10         4.8190695        1          1          1          0                0                2000             1000            
 1          10         4.8190695        1          1          2          0.035950539      0.035950539      2000             1000            
 1          10         4.8190695        1          1          3          0                0                2000             1000            
 1          11         5.443161         1          1          1          0                0                2000             1000            
 1          11         5.443161         1          1          2          0.040516513      0.040516513      2000             1000            
 1          11         5.443161         1          1          3          0                0                2000             1000            
 1          12         6.0984571        1          1          1          0                0                2000             1000            
 1          12         6.0984571        1          1          2          0.045289115      0.045289115      2000             1000            
 1          12         6.0984571        1          1          3          0                0                2000             1000            
 1          13         6.7865181        1          1          1          0                0                2000             1000            
 1          13         6.7865181        1          1          2          0.050276623      0.050276623      2000             1000            
 1          13         6.7865181        1          1          3          0                0                2000             1000            
 1          14         7.508982         1          1          1          0                0                2000             1000            
 1          14         7.508982         1          1          2          0.055487548      0.055487548      2000             1000            
 1          14         7.508982         1          1          3          0                0                2000             1000            
 1          15         8.2675692        1          1          1          0                0                2000             1000            
 1          15         8.2675692        1          1          2          0.060930622      0.060930622      2000             1000            
 1          15         8.2675692        1          1          3          0                0                2000             1000            
 1          16         9.0640857        1          1          1          0                0                2000             1000            
 1          16         9.0640857        1          1          2          0.0666148        0.0666148        2000             1000            
 1          16         9.0640857        1          1          3          0                0                2000             1000            
 1          17         9.9004281        1          1          1          0                0                2000             1000            
 1          17         9.9004281        1          1          2          0.072549248      0.072549248      2000             1000            
 1          17         9.9004281        1          1          3          0                0                2000             1000            
 1          18         10.778588        1          1          1          0                0                2000             1000            
 1          18         10.778588        1          1          2          0.078743338      0.078743338      2000             1000            
 1          18         10.778588        1          1          3          0                0                2000             1000            
 1          19         11.700655        1          1          1          0                0                2000             1000            
 1          19         11.700655        1          1          2          0.085206638      0.085206638      2000             1000            
 1          19         11.700655        1          1          3          0                0                2000             1000            
 1          20         12.668826        1          1          1          0                0                2000             1000            
 1          20         12.668826        1          1          2          0.091948901      0.091948901      2000             1000            
 1          20         12.668826        1          1          3          0                0                2000             1000            
 1          21         13.685405        1          1          1          0                0                2000             1000            
 1          21         13.685405        1          1          2          0.09898005       0.09898005       2000             1000            
 1          21         13.685405        1          1          3          0                0                2000             1000            
 1          22         14.752814        1          1          1          0                0                2000             1000            
 1          22         14.752814        1          1          2          0.10631017       0.10631017       2000             1000            
 1          22         14.752814        1          1          3          0                0                2000             1000            
 1          23         15.873592        1          1          1          0                0                2000             1000            
 1          23         15.873592        1          1          2          0.11394947       0.11394947       2000             1000            
 1          23         15.873592        1          1          3          0                0                2000             1000            
 1          24         17.05041         1          1          1          0                0                2000             1000            
 1          24         17.05041         1          1          2          0.1219083        0.1219083        2000             1000            
 1          24         17.05041         1          1          3          0                0                2000             1000            
 1          25         18.286069        1          1          1          0                0                2000             1000            
 1          25         18.286069        1          1          2          0.1301971        0.1301971        2000             1000            
 1          25         18.286069        1          1          3          0                0                2000             1000            
 1          26         19.58351         1          1          1          0                0                2000             1000            
 1          26         19.58351         1          1          2          0.13882639       0.13882639       2000             1000            
 1          26         19.58351         1          1          3          0                0                2000             1000            
 1          27         20.945824        1          1          1          0                0                2000             1000            
 1          27         20.945824        1          1          2          0.14780672       0.14780672       2000             1000            
 1          27         20.945824        1          1          3          0                0                2000             1000            
 1          28         22.376253        1          1          1          0                0                2000             1000            
 1          28         22.376253        1          1          2          0.1571487        0.1571487        2000             1000            
 1          28         22.376253        1          1          3          0                0                2000             1000            
 1          29         23.878204        1          1          1          0                0                2000             1000            
