 IPER  ISTEP  TLEN  IDB  ILYR  IROW  ICOL  NODE  THIK  HEAD  THETA  VK  SKE  SKV
 1          1          0.38313807       1          1          1          2          1          5.2617079        9.9729989        0.44984843       0.001            1.0206331e-05    0.010206331     
 1          1          0.38313807       1          1          1          2          2          5.2631559        9.9999635        0.4499998        0.001            1.0204085e-05    0.010204085     
 1          1          0.38313807       1          1          1          2          3          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          1          0.38313807       1          1          1          2          4          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          1          0.38313807       1          1          1          2          5          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          1          0.38313807       1          1          1          2          6          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          1          0.38313807       1          1          1          2          7          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          1          0.38313807       1          1          1          2          8          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          1          0.38313807       1          1          1          2          9          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          1          0.38313807       1          1          1          2          10         2.6315789        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          2          0.78543304       1          1          1          2          1          5.2601918        9.9447666        0.44968987       0.001            1.0208685e-05    0.010208685     
 1          2          0.78543304       1          1          1          2          2          5.2631517        9.9998852        0.44999936       0.001            1.0204091e-05    0.010204091     
 1          2          0.78543304       1          1          1          2          3          5.2631579        9.9999998        0.45             0.001            1.0204082e-05    0.010204082     
 1          2          0.78543304       1          1          1          2          4          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          2          0.78543304       1          1          1          2          5          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          2          0.78543304       1          1          1          2          6          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          2          0.78543304       1          1          1          2          7          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          2          0.78543304       1          1          1          2          8          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          2          0.78543304       1          1          1          2          9          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          2          0.78543304       1          1          1          2          10         2.6315789        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          3          1.2078428        1          1          1          2          1          5.258607         9.9152531        0.44952402       0.001            1.0211146e-05    0.010211146     
 1          3          1.2078428        1          1          1          2          2          5.263145         9.9997593        0.44999865       0.001            1.0204102e-05    0.010204102     
 1          3          1.2078428        1          1          1          2          3          5.2631579        9.9999994        0.45             0.001            1.0204082e-05    0.010204082     
 1          3          1.2078428        1          1          1          2          4          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          3          1.2078428        1          1          1          2          5          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          3          1.2078428        1          1          1          2          6          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          3          1.2078428        1          1          1          2          7          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          3          1.2078428        1          1          1          2          8          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          3          1.2078428        1          1          1          2          9          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          3          1.2078428        1          1          1          2          10         2.6315789        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          4          1.651373         1          1          1          2          1          5.2569508        9.8844069        0.44935059       0.001            1.0213721e-05    0.010213721     
 1          4          1.651373         1          1          1          2          2          5.2631353        9.9995792        0.44999764       0.001            1.0204117e-05    0.010204117     
 1          4          1.651373         1          1          1          2          3          5.2631578        9.9999988        0.44999999       0.001            1.0204082e-05    0.010204082     
 1          4          1.651373         1          1          1          2          4          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          4          1.651373         1          1          1          2          5          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          4          1.651373         1          1          1          2          6          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          4          1.651373         1          1          1          2          7          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          4          1.651373         1          1          1          2          8          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          4          1.651373         1          1          1          2          9          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          4          1.651373         1          1          1          2          10         2.6315789        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          5          2.1170797        1          1          1          2          1          5.2552203        9.8521752        0.44916927       0.001            1.0216412e-05    0.010216412     
 1          5          2.1170797        1          1          1          2          2          5.2631223        9.9993379        0.44999628       0.001            1.0204137e-05    0.010204137     
 1          5          2.1170797        1          1          1          2          3          5.2631578        9.9999977        0.44999999       0.001            1.0204082e-05    0.010204082     
 1          5          2.1170797        1          1          1          2          4          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          5          2.1170797        1          1          1          2          5          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          5          2.1170797        1          1          1          2          6          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          5          2.1170797        1          1          1          2          7          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          5          2.1170797        1          1          1          2          8          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          5          2.1170797        1          1          1          2          9          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          5          2.1170797        1          1          1          2          10         2.6315789        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          6          2.6060717        1          1          1          2          1          5.2534126        9.8185038        0.44897973       0.001            1.0219225e-05    0.010219225     
 1          6          2.6060717        1          1          1          2          2          5.2631057        9.9990272        0.44999454       0.001            1.0204163e-05    0.010204163     
 1          6          2.6060717        1          1          1          2          3          5.2631577        9.999996         0.44999998       0.001            1.0204082e-05    0.010204082     
 1          6          2.6060717        1          1          1          2          4          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          6          2.6060717        1          1          1          2          5          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          6          2.6060717        1          1          1          2          6          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          6          2.6060717        1          1          1          2          7          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          6          2.6060717        1          1          1          2          8          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          6          2.6060717        1          1          1          2          9          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          6          2.6060717        1          1          1          2          10         2.6315789        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          7          3.1195134        1          1          1          2          1          5.2515248        9.7833374        0.44878165       0.001            1.0222166e-05    0.010222166     
 1          7          3.1195134        1          1          1          2          2          5.2630848        9.9986386        0.44999236       0.001            1.0204195e-05    0.010204195     
 1          7          3.1195134        1          1          1          2          3          5.2631575        9.9999936        0.44999996       0.001            1.0204082e-05    0.010204082     
 1          7          3.1195134        1          1          1          2          4          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          7          3.1195134        1          1          1          2          5          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          7          3.1195134        1          1          1          2          6          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          7          3.1195134        1          1          1          2          7          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          7          3.1195134        1          1          1          2          8          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          7          3.1195134        1          1          1          2          9          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          7          3.1195134        1          1          1          2          10         2.6315789        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          8          3.6586271        1          1          1          2          1          5.2495539        9.7466192        0.44857469       0.001            1.0225238e-05    0.010225238     
 1          8          3.6586271        1          1          1          2          2          5.2630592        9.9981623        0.44998969       0.001            1.0204235e-05    0.010204235     
 1          8          3.6586271        1          1          1          2          3          5.2631574        9.9999901        0.44999994       0.001            1.0204082e-05    0.010204082     
 1          8          3.6586271        1          1          1          2          4          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          8          3.6586271        1          1          1          2          5          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          8          3.6586271        1          1          1          2          6          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          8          3.6586271        1          1          1          2          7          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          8          3.6586271        1          1          1          2          8          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          8          3.6586271        1          1          1          2          9          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          8          3.6586271        1          1          1          2          10         2.6315789        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          9          4.2246966        1          1          1          2          1          5.2474967        9.7082913        0.44835852       0.001            1.0228447e-05    0.010228447     
 1          9          4.2246966        1          1          1          2          2          5.2630283        9.9975878        0.44998646       0.001            1.0204283e-05    0.010204283     
 1          9          4.2246966        1          1          1          2          3          5.2631571        9.9999853        0.44999992       0.001            1.0204083e-05    0.010204083     
 1          9          4.2246966        1          1          1          2          4          5.2631579        9.9999999        0.45             0.001            1.0204082e-05    0.010204082     
 1          9          4.2246966        1          1          1          2          5          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          9          4.2246966        1          1          1          2          6          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          9          4.2246966        1          1          1          2          7          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          9          4.2246966        1          1          1          2          8          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          9          4.2246966        1          1          1          2          9          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          9          4.2246966        1          1          1          2          10         2.6315789        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          10         4.8190695        1          1          1          2          1          5.2453501        9.6682948        0.44813277       0.001            1.0231798e-05    0.010231798     
 1          10         4.8190695        1          1          1          2          2          5.2629916        9.9969032        0.44998262       0.001            1.020434e-05     0.01020434      
 1          10         4.8190695        1          1          1          2          3          5.2631568        9.9999789        0.44999988       0.001            1.0204083e-05    0.010204083     
 1          10         4.8190695        1          1          1          2          4          5.2631579        9.9999999        0.45             0.001            1.0204082e-05    0.010204082     
 1          10         4.8190695        1          1          1          2          5          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          10         4.8190695        1          1          1          2          6          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
 1          10         4.8190695        1          1          1          2          7          5.2631579        10               0.45             0.001            1.0204082e-05    0.010204082     
