time,H1_1_2
0.3831380695111,0.3789739548E-11
0.7854330424977,0.3779012123E-11
1.207842764134,0.3767798319E-11
1.651372971851,0.3756078660E-11
2.117079689955,0.3743833150E-11
2.606071743964,0.3731041286E-11
3.119513400673,0.3717682078E-11
3.658627140218,0.3703734071E-11
4.224696566740,0.3689175371E-11
4.819069464588,0.3673983677E-11
5.443161007328,0.3658136320E-11
6.098457127206,0.3641610307E-11
6.786518053077,0.3624382370E-11
7.508982025242,0.3606429026E-11
8.267569196015,0.3587726638E-11
9.064085725327,0.3568251492E-11
9.900428081105,0.3547979879E-11
10.77858755467,0.3526888184E-11
11.70065500192,0.3504952986E-11
12.66882582152,0.3482151173E-11
13.68540518211,0.3458460059E-11
14.75281351073,0.3433857519E-11
15.87359225577,0.3408322134E-11
17.05040993807,0.3381833342E-11
18.28606850449,0.3354371609E-11
19.58350999922,0.3325918609E-11
20.94582356870,0.3296457409E-11
22.37625281664,0.3265972679E-11
23.87820352698,0.3234450900E-11
25.45525177285,0.3201880587E-11
27.11115243100,0.3168252530E-11
28.84984812206,0.3133560026E-11
30.67547859767,0.3097799136E-11
32.59239059707,0.3060968935E-11
34.60514819643,0.3023071773E-11
36.71854367577,0.2984113530E-11
38.93760892907,0.2944103875E-11
41.26762744503,0.2903056517E-11
43.71414688679,0.2860989447E-11
46.28299230064,0.2817925168E-11
48.98027998519,0.2773890907E-11
51.81243205396,0.2728918806E-11
54.78619172617,0.2683046081E-11
57.90863938198,0.2636315158E-11
61.18720942059,0.2588773760E-11
64.62970796114,0.2540474955E-11
68.24433142870,0.2491477154E-11
72.03968606965,0.2441844050E-11
76.02480844264,0.2391644502E-11
80.20918693429,0.2340952343E-11
84.60278435051,0.2289846131E-11
89.21606163755,0.2238408811E-11
94.06000278894,0.2186727312E-11
99.14614099789,0.2134892065E-11
104.4865861173,0.2082996436E-11
110.0940534927,0.2031136097E-11
115.9818942368,0.1979408315E-11
122.1641270182,0.1927911187E-11
128.6554714386,0.1876742808E-11
135.4713830800,0.1826000409E-11
142.6280903035,0.1775779446E-11
150.1426328882,0.1726172688E-11
158.0329026022,0.1677269291E-11
166.3176858018,0.1629153902E-11
175.0167081614,0.1581905790E-11
184.1506816390,0.1535598044E-11
193.7413537904,0.1490296839E-11
203.8115595494,0.1446060802E-11
214.3852755964,0.1402940497E-11
225.4876774458,0.1360978025E-11
237.1451993876,0.1320206781E-11
249.3855974265,0.1280651344E-11
262.2380153673,0.1242327531E-11
275.7330542052,0.1205242601E-11
289.9028449849,0.1169395599E-11
304.7811253037,0.1134777849E-11
320.4033196384,0.1101373556E-11
336.8066236898,0.1069160519E-11
354.0300929438,0.1038110922E-11
372.1147356605,0.1008192183E-11
391.1036105131,0.9793678274E-12
411.0419291082,0.9515983724E-12
431.9771636331,0.9248421866E-12
453.9591598843,0.8990563070E-12
477.0402559480,0.8741971921E-12
501.2754068149,0.8502213954E-12
526.7223152252,0.8270861491E-12
553.4415690560,0.8047498495E-12
581.4967855783,0.7831724429E-12
610.9547629267,0.7623157134E-12
641.8856391426,0.7421434802E-12
674.3630591692,0.7226217096E-12
708.4643501972,0.7037185571E-12
744.2707057765,0.6854043472E-12
781.8673791349,0.6676515072E-12
821.3438861611,0.6504344652E-12
862.7942185387,0.6337295236E-12
906.3170675351,0.6175147189E-12
952.0160589814,0.6017696760E-12
1000.000000000,0.5864754629E-12
