 IPER  ISTEP  TLEN  STAIN  CSTIN  IBEIN  IBVIN  WSTIN  CNHIN  STAOUT  CSTOUT  IBEOUT  IBVOUT  WSTOUT  CNHOUT  ABER  RBER
 1          1          0.38313807       0                0                0                0.0057615437     0                0                0                0                0                0                0                0.0057615437     0                0               
 1          2          0.78543304       0                0                0                0.011743771      0                0                0                0                0                0                0                0.011743771      0                0               
 1          3          1.2078428        0                0                1.8316891e-17    0.017952093      0                0                0                0                0                0                0                0.017952093      8.6736174e-19    0               
 1          4          1.651373         0                0                1.8316891e-17    0.024391789      0                0                0                0                0                0                0                0.024391789      8.6736174e-19    0               
 1          5          2.1170797        0                0                1.8316891e-17    0.031067981      0                0                0                0                0                0                0                0.031067981      8.6736174e-19    0               
 1          6          2.6060717        0                0                1.8316891e-17    0.037985604      0                0                0                0                0                0                0                0.037985604      8.6736174e-19    0               
 1          7          3.1195134        0                0                1.8316891e-17    0.045149378      0                0                0                0                0                0                0                0.045149378      8.6736174e-19    0               
 1          8          3.6586271        0                0                1.8316891e-17    0.052563783      0                0                0                0                0                0                0                0.052563783      8.6736174e-19    0               
 1          9          4.2246966        0                0                1.8316891e-17    0.060233029      0                0                0                0                0                0                0                0.060233029      2.6020852e-18    0               
 1          10         4.8190695        0                0                1.8316891e-17    0.068161026      0                0                0                0                0                0                0                0.068161026      4.3368087e-18    0               
 1          11         5.443161         0                0                1.8316891e-17    0.076351357      0                0                0                0                0                0                0                0.076351357      4.3368087e-18    0               
 1          12         6.0984571        0                0                1.8316891e-17    0.084807252      0                0                0                0                0                0                0                0.084807252      6.0715322e-18    0               
 1          13         6.7865181        0                0                1.8316891e-17    0.093531565      0                0                0                0                0                0                0                0.093531565      6.0715322e-18    0               
 1          14         7.508982         0                0                1.8316891e-17    0.10252674       0                0                0                0                0                0                0                0.10252674       6.0715322e-18    0               
 1          15         8.2675692        0                0                1.8316891e-17    0.11179481       0                0                0                0                0                0                0                0.11179481       6.0715322e-18    0               
 1          16         9.0640857        0                0                2.4422522e-17    0.12133736       0                0                0                0                0                0                0                0.12133736       7.8062556e-18    0               
 1          17         9.9004281        0                0                2.4422522e-17    0.13115551       0                0                0                0                0                0                0                0.13115551       7.8062556e-18    0               
 1          18         10.778588        0                0                2.4422522e-17    0.14124993       0                0                0                0                0                0                0                0.14124993       7.8062556e-18    0               
 1          19         11.700655        0                0                2.4422522e-17    0.15162082       0                0                0                0                0                0                0                0.15162082       6.0715322e-18    0               
 1          20         12.668826        0                0                2.4422522e-17    0.16226789       0                0                0                0                0                0                0                0.16226789       7.8062556e-18    0               
 1          21         13.685405        0                0                2.4422522e-17    0.17319042       0                0                0                0                0                0                0                0.17319042       7.8062556e-18    0               
 1          22         14.752814        0                0                2.4422522e-17    0.18438722       0                0                0                0                0                0                0                0.18438722       9.5409791e-18    0               
 1          23         15.873592        0                0                2.4422522e-17    0.19585667       0                0                0                0                0                0                0                0.19585667       9.5409791e-18    0               
 1          24         17.05041         0                0                2.4422522e-17    0.20759678       0                0                0                0                0                0                0                0.20759678       9.5409791e-18    0               
 1          25         18.286069        0                0                2.4422522e-17    0.21960517       0                0                0                0                0                0                0                0.21960517       9.5409791e-18    0               
 1          26         19.58351         0                0                2.4422522e-17    0.23187916       0                0                0                0                0                0                0                0.23187916       9.5409791e-18    0               
 1          27         20.945824        0                0                2.4422522e-17    0.24441582       0                0                0                0                0                0                0                0.24441582       9.5409791e-18    0               
 1          28         22.376253        0                0                2.4422522e-17    0.25721202       0                0                0                0                0                0                0                0.25721202       9.5409791e-18    0               
 1          29         23.878204        0                0                2.4422522e-17    0.2702645        0                0                0                0                0                0                0                0.2702645        9.5409791e-18    0               
 1          30         25.455252        0                0                2.4422522e-17    0.28356994       0                0                0                0                0                0                0                0.28356994       9.5409791e-18    0               
 1          31         27.111152        0                0                2.4422522e-17    0.29712509       0                0                0                0                0                0                0                0.29712509       6.0715322e-18    0               
 1          32         28.849848        0                0                2.4422522e-17    0.3109268        0                0                0                0                0                0                0                0.3109268        4.3368087e-18    0               
 1          33         30.675479        0                0                2.4422522e-17    0.32497215       0                0                0                0                0                0                0                0.32497215       4.3368087e-18    0               
 1          34         32.592391        0                0                2.4422522e-17    0.33925855       0                0                0                0                0                0                0                0.33925855       4.3368087e-18    0               
 1          35         34.605148        0                0                2.4422522e-17    0.35378381       0                0                0                0                0                0                0                0.35378381       4.3368087e-18    0               
 1          36         36.718544        0                0                2.4422522e-17    0.36854627       0                0                0                0                0                0                0                0.36854627       2.6020852e-18    0               
 1          37         38.937609        0                0                2.4422522e-17    0.38354487       0                0                0                0                0                0                0                0.38354487       2.6020852e-18    0               
 1          38         41.267627        0                0                2.4422522e-17    0.39877924       0                0                0                0                0                0                0                0.39877924       2.6020852e-18    0               
 1          39         43.714147        0                0                2.4422522e-17    0.4142498        0                0                0                0                0                0                0                0.4142498        2.6020852e-18    0               
 1          40         46.282992        0                0                2.4422522e-17    0.42995782       0                0                0                0                0                0                0                0.42995782       2.6020852e-18    0               
 1          41         48.98028         0                0                2.4422522e-17    0.44590549       0                0                0                0                0                0                0                0.44590549       6.0715322e-18    0               
 1          42         51.812432        0                0                2.4422522e-17    0.46209593       0                0                0                0                0                0                0                0.46209593       6.0715322e-18    0               
 1          43         54.786192        0                0                2.4422522e-17    0.47853329       0                0                0                0                0                0                0                0.47853329       2.6020852e-18    0               
 1          44         57.908639        0                0                2.4422522e-17    0.49522273       0                0                0                0                0                0                0                0.49522273       2.6020852e-18    0               
 1          45         61.187209        0                0                2.4422522e-17    0.51217041       0                0                0                0                0                0                0                0.51217041       2.6020852e-18    0               
 1          46         64.629708        0                0                2.4422522e-17    0.52938352       0                0                0                0                0                0                0                0.52938352       6.0715322e-18    0               
 1          47         68.244331        0                0                2.4422522e-17    0.54687023       0                0                0                0                0                0                0                0.54687023       6.0715322e-18    0               
 1          48         72.039686        0                0                2.4422522e-17    0.56463965       0                0                0                0                0                0                0                0.56463965       6.0715322e-18    0               
 1          49         76.024808        0                0                2.4422522e-17    0.58270177       0                0                0                0                0                0                0                0.58270177       6.0715322e-18    0               
 1          50         80.209187        0                0                2.4422522e-17    0.60106743       0                0                0                0                0                0                0                0.60106743       9.5409791e-18    0               
 1          51         84.602784        0                0                2.4422522e-17    0.61974823       0                0                0                0                0                0                0                0.61974823       9.5409791e-18    0               
 1          52         89.216062        0                0                2.4422522e-17    0.63875643       0                0                0                0                0                0                0                0.63875643       2.6020852e-18    0               
 1          53         94.060003        0                0                2.4422522e-17    0.65810491       0                0                0                0                0                0                0                0.65810491       2.6020852e-18    0               
 1          54         99.146141        0                0                2.4422522e-17    0.67780709       0                0                0                0                0                0                0                0.67780709       2.6020852e-18    0               
 1          55         104.48659        0                0                2.4422522e-17    0.69787682       0                0                0                0                0                0                0                0.69787682       -8.6736174e-19   0               
 1          56         110.09405        0                0                2.4422522e-17    0.71832836       0                0                0                0                0                0                0                0.71832836       -8.6736174e-19   0               
 1          57         115.98189        0                0                2.4422522e-17    0.73917626       0                0                0                0                0                0                0                0.73917626       2.6020852e-18    0               
 1          58         122.16413        0                0                2.4422522e-17    0.76043536       0                0                0                0                0                0                0                0.76043536       2.6020852e-18    0               
 1          59         128.65547        0                0                2.4422522e-17    0.78212069       0                0                0                0                0                0                0                0.78212069       2.6020852e-18    0               
 1          60         135.47138        0                0                2.4422522e-17    0.80424749       0                0                0                0                0                0                0                0.80424749       2.6020852e-18    0               
 1          61         142.62809        0                0                2.4422522e-17    0.82683113       0                0                0                0                0                0                0                0.82683113       2.6020852e-18    0               
 1          62         150.14263        0                0                2.4422522e-17    0.84988715       0                0                0                0                0                0                0                0.84988715       2.6020852e-18    0               
 1          63         158.0329         0                0                2.4422522e-17    0.87343119       0                0                0                0                0                0                0                0.87343119       -8.6736174e-19   0               
 1          64         166.31769        0                0                2.4422522e-17    0.89747905       0                0                0                0                0                0                0                0.89747905       -8.6736174e-19   0               
 1          65         175.01671        0                0                2.4422522e-17    0.92204666       0                0                0                0                0                0                0                0.92204666       -4.3368087e-18   6.0204276e-15   
 1          66         184.15068        0                0                2.4422522e-17    0.94715009       0                0                0                0                0                0                0                0.94715009       -4.3368087e-18   5.8608611e-15   
 1          67         193.74135        0                0                2.4422522e-17    0.97280559       0                0                0                0                0                0                0                0.97280559       -4.3368087e-18   5.7062944e-15   
 1          68         203.81156        0                0                2.4422522e-17    0.99902961       0                0                0                0                0                0                0                0.99902961       -8.6736174e-19   5.5565071e-15   
 1          69         214.38528        0                0                2.4422522e-17    1.0258388        0                0                0                0                0                0                0                1.0258388        -8.6736174e-19   0               
 1          70         225.48768        0                0                2.4422522e-17    1.05325          0                0                0                0                0                0                0                1.05325          -8.6736174e-19   0               
 1          71         237.1452         0                0                2.4422522e-17    1.0812804        0                0                0                0                0                0                0                1.0812804        -8.6736174e-19   0               
 1          72         249.3856         0                0                2.4422522e-17    1.1099473        0                0                0                0                0                0                0                1.1099473        -8.6736174e-19   0               
 1          73         262.23802        0                0                2.4422522e-17    1.1392686        0                0                0                0                0                0                0                1.1392686        -8.6736174e-19   0               
 1          74         275.73305        0                0                2.4422522e-17    1.1692621        0                0                0                0                0                0                0                1.1692621        -7.8062556e-18   0               
 1          75         289.90284        0                0                2.4422522e-17    1.1999464        0                0                0                0                0                0                0                1.1999464        -7.8062556e-18   0               
 1          76         304.78113        0                0                2.4422522e-17    1.23134          0                0                0                0                0                0                0                1.23134          -8.6736174e-19   0               
 1          77         320.40332        0                0                2.4422522e-17    1.2634621        0                0                0                0                0                0                0                1.2634621        -8.6736174e-19   0               
 1          78         336.80662        0                0                2.4422522e-17    1.2963322        0                0                0                0                0                0                0                1.2963322        -8.6736174e-19   0               
 1          79         354.03009        0                0                2.4422522e-17    1.3299701        0                0                0                0                0                0                0                1.3299701        -8.6736174e-19   0               
 1          80         372.11474        0                0                2.4422522e-17    1.3643962        0                0                0                0                0                0                0                1.3643962        -8.6736174e-19   0               
 1          81         391.10361        0                0                2.4422522e-17    1.3996312        0                0                0                0                0                0                0                1.3996312        -8.6736174e-19   0               
 1          82         411.04193        0                0                2.4422522e-17    1.4356963        0                0                0                0                0                0                0                1.4356963        -8.6736174e-19   0               
 1          83         431.97716        0                0                2.4422522e-17    1.4726132        0                0                0                0                0                0                0                1.4726132        -8.6736174e-19   0               
 1          84         453.95916        0                0                2.4422522e-17    1.5104038        0                0                0                0                0                0                0                1.5104038        -7.8062556e-18   0               
 1          85         477.04026        0                0                2.4422522e-17    1.5490909        0                0                0                0                0                0                0                1.5490909        -7.8062556e-18   0               
 1          86         501.27541        0                0                2.4422522e-17    1.5886973        0                0                0                0                0                0                0                1.5886973        -7.8062556e-18   0               
 1          87         526.72232        0                0                2.4422522e-17    1.6292466        0                0                0                0                0                0                0                1.6292466        -7.8062556e-18   0               
 1          88         553.44157        0                0                2.4422522e-17    1.6707625        0                0                0                0                0                0                0                1.6707625        -7.8062556e-18   0               
 1          89         581.49679        0                0                2.4422522e-17    1.7132693        0                0                0                0                0                0                0                1.7132693        -7.8062556e-18   0               
 1          90         610.95476        0                0                2.4422522e-17    1.7567916        0                0                0                0                0                0                0                1.7567916        -7.8062556e-18   0               
 1          91         641.88564        0                0                2.4422522e-17    1.801354         0                0                0                0                0                0                0                1.801354         -7.8062556e-18   0               
 1          92         674.36306        0                0                2.4422522e-17    1.8469815        0                0                0                0                0                0                0                1.8469815        -1.474515e-17    0               
 1          93         708.46435        0                0                2.4422522e-17    1.8936988        0                0                0                0                0                0                0                1.8936988        -1.474515e-17    0               
 1          94         744.27071        0                0                2.4422522e-17    1.9415306        0                0                0                0                0                0                0                1.9415306        -2.1684043e-17   0               
 1          95         781.86738        0                0                2.4422522e-17    1.9905009        0                0                0                0                0                0                0                1.9905009        -2.1684043e-17   0               
 1          96         821.34389        0                0                2.4422522e-17    2.0406333        0                0                0                0                0                0                0                2.0406333        -2.1684043e-17   0               
 1          97         862.79422        0                0                2.4422522e-17    2.0919498        0                0                0                0                0                0                0                2.0919498        -2.8622937e-17   0               
 1          98         906.31707        0                0                2.4422522e-17    2.1444714        0                0                0                0                0                0                0                2.1444714        -2.8622937e-17   0               
 1          99         952.01606        0                0                2.4422522e-17    2.1982166        0                0                0                0                0                0                0                2.1982166        -2.8622937e-17   0               
 1          100        1000             0                0                2.4422522e-17    2.2532019        0                0                0                0                0                0                0                2.2532019        -2.8622937e-17   0               
