 IPER  ISTEP  TLEN  IDB  ILYR  IROW  ICOL  CHEAD  COM  EST  HC  RERR
 1          1          0.38313807       1          1          1          2          10               0.0057615437     490              490              3.6599046e-08   
 1          2          0.78543304       1          1          1          2          10               0.011743771      490              490              3.720731e-08    
 1          3          1.2078428        1          1          1          2          10               0.017952093      490              490              4.2719104e-08   
 1          4          1.651373         1          1          1          2          10               0.024391789      490              490              4.2374721e-08   
 1          5          2.1170797        1          1          1          2          10               0.031067981      490              490              4.2489784e-08   
 1          6          2.6060717        1          1          1          2          10               0.037985604      490              490              4.2900991e-08   
 1          7          3.1195134        1          1          1          2          10               0.045149378      490              490              4.3647881e-08   
 1          8          3.6586271        1          1          1          2          10               0.052563783      490              490              4.4196411e-08   
 1          9          4.2246966        1          1          1          2          10               0.060233029      490              490              4.4793716e-08   
 1          10         4.8190695        1          1          1          2          10               0.068161026      490              490              4.5423163e-08   
 1          11         5.443161         1          1          1          2          10               0.076351357      490              490              4.6047245e-08   
 1          12         6.0984571        1          1          1          2          10               0.084807252      490              490              4.6638659e-08   
 1          13         6.7865181        1          1          1          2          10               0.093531565      490              490              4.7334171e-08   
 1          14         7.508982         1          1          1          2          10               0.10252674       490              490              4.7830456e-08   
 1          15         8.2675692        1          1          1          2          10               0.11179481       490              490              4.8295329e-08   
 1          16         9.0640857        1          1          1          2          10               0.12133736       490              490              4.8715509e-08   
 1          17         9.9004281        1          1          1          2          10               0.13115551       490              490              4.9103909e-08   
 1          18         10.778588        1          1          1          2          10               0.14124993       490              490              4.9359301e-08   
 1          19         11.700655        1          1          1          2          10               0.15162082       490              490              4.9543874e-08   
 1          20         12.668826        1          1          1          2          10               0.16226789       490              490              4.9649839e-08   
 1          21         13.685405        1          1          1          2          10               0.17319042       490              490              4.9675677e-08   
 1          22         14.752814        1          1          1          2          10               0.18438722       490              490              4.9619572e-08   
 1          23         15.873592        1          1          1          2          10               0.19585667       490              490              4.9488072e-08   
 1          24         17.05041         1          1          1          2          10               0.20759678       490              490              4.9274472e-08   
 1          25         18.286069        1          1          1          2          10               0.21960517       490              490              4.8975356e-08   
 1          26         19.58351         1          1          1          2          10               0.23187916       490              490              4.8601789e-08   
 1          27         20.945824        1          1          1          2          10               0.24441582       490              490              4.8160023e-08   
 1          28         22.376253        1          1          1          2          10               0.25721202       490              490              4.7660721e-08   
 1          29         23.878204        1          1          1          2          10               0.2702645        490              490              4.7104986e-08   
 1          30         25.455252        1          1          1          2          10               0.28356994       490              490              4.6499834e-08   
 1          31         27.111152        1          1          1          2          10               0.29712509       490              490              4.5853711e-08   
 1          32         28.849848        1          1          1          2          10               0.3109268        490              490              4.5176399e-08   
 1          33         30.675479        1          1          1          2          10               0.32497215       490              490              4.4475323e-08   
 1          34         32.592391        1          1          1          2          10               0.33925855       490              490              4.3756133e-08   
 1          35         34.605148        1          1          1          2          10               0.35378381       490              490              4.3029858e-08   
 1          36         36.718544        1          1          1          2          10               0.36854627       490              490              4.230354e-08    
 1          37         38.937609        1          1          1          2          10               0.38354487       490              490              4.1585356e-08   
 1          38         41.267627        1          1          1          2          9.9999999        0.39877924       490              490              4.0878268e-08   
 1          39         43.714147        1          1          1          2          9.9999999        0.4142498        490              490              4.0186769e-08   
 1          40         46.282992        1          1          1          2          9.9999999        0.42995782       490              490              3.9517398e-08   
 1          41         48.98028         1          1          1          2          9.9999998        0.44590549       490              490              3.8871233e-08   
 1          42         51.812432        1          1          1          2          9.9999997        0.46209593       490              490              3.8248836e-08   
 1          43         54.786192        1          1          1          2          9.9999995        0.47853329       490              490              3.7653332e-08   
 1          44         57.908639        1          1          1          2          9.9999992        0.49522273       490              490              3.7087947e-08   
 1          45         61.187209        1          1          1          2          9.9999987        0.51217041       490              490              3.65489e-08     
 1          46         64.629708        1          1          1          2          9.999998         0.52938352       490              490              3.6031403e-08   
 1          47         68.244331        1          1          1          2          9.999997         0.54687023       490              490              3.5541323e-08   
 1          48         72.039686        1          1          1          2          9.9999954        0.56463965       490              490              3.5074223e-08   
 1          49         76.024808        1          1          1          2          9.999993         0.58270177       490.00001        490.00001        3.462886e-08    
 1          50         80.209187        1          1          1          2          9.9999895        0.60106743       490.00001        490.00001        3.4202346e-08   
 1          51         84.602784        1          1          1          2          9.9999842        0.61974823       490.00002        490.00002        3.3794865e-08   
 1          52         89.216062        1          1          1          2          9.9999766        0.63875643       490.00002        490.00002        3.3403837e-08   
 1          53         94.060003        1          1          1          2          9.9999654        0.65810491       490.00003        490.00003        3.3027396e-08   
 1          54         99.146141        1          1          1          2          9.9999493        0.67780709       490.00005        490.00005        3.2666914e-08   
 1          55         104.48659        1          1          1          2          9.9999261        0.69787682       490.00007        490.00007        3.2319031e-08   
 1          56         110.09405        1          1          1          2          9.9998932        0.71832836       490.00011        490.00011        3.1983493e-08   
 1          57         115.98189        1          1          1          2          9.9998465        0.73917626       490.00015        490.00015        3.1660584e-08   
 1          58         122.16413        1          1          1          2          9.9997811        0.76043536       490.00022        490.00022        3.1347297e-08   
 1          59         128.65547        1          1          1          2          9.9996898        0.78212069       490.00031        490.00031        3.1046045e-08   
 1          60         135.47138        1          1          1          2          9.9995635        0.80424749       490.00044        490.00044        3.0755793e-08   
 1          61         142.62809        1          1          1          2          9.9993902        0.82683113       490.00061        490.00061        3.0472615e-08   
 1          62         150.14263        1          1          1          2          9.999154         0.84988715       490.00085        490.00085        3.0196374e-08   
 1          63         158.0329         1          1          1          2          9.9988347        0.87343119       490.00117        490.00117        2.9929859e-08   
 1          64         166.31769        1          1          1          2          9.9984062        0.89747905       490.00159        490.00159        2.9671084e-08   
