 IPER  ISTEP  TLEN  ILYR  STAIN  TOPIN  BOTIN  CSTIN  IBEIN  IBVIN  WSTIN  CNHIN  STAOUT  TOPOUT  BOTOUT  CSTOUT  IBEOUT  IBVOUT  WSTOUT  CNHOUT  ABER
 1          1          0.38313807       1          0                0                0                0                0.012306027      0.027796578      0                0                0                0                0                0                0                0                0                0.040102605      0               
 1          2          0.78543304       1          0                0                0                0                0.018639068      0.044573963      0                0                0                0                0                0                0                0                0                0.063213031      -6.9388939e-18  
 1          3          1.2078428        1          0                0                0                0                0.0236022        0.057630986      0                0                0                0                0                0                0                0                0                0.081233186      -6.9388939e-18  
 1          4          1.651373         1          0                0                0                0                0.027900078      0.068920413      0                0                0                0                0                0                0                0                0                0.096820491      -6.9388939e-18  
 1          5          2.1170797        1          0                0                0                0                0.031809586      0.079154901      0                0                0                0                0                0                0                0                0                0.11096449       -6.9388939e-18  
 1          6          2.6060717        1          0                0                0                0                0.035463119      0.088695454      0                0                0                0                0                0                0                0                0                0.12415857       -8.6736174e-18  
 1          7          3.1195134        1          0                0                0                0                0.038936837      0.097753732      0                0                0                0                0                0                0                0                0                0.13669057       -8.6736174e-18  
 1          8          3.6586271        1          0                0                0                0                0.042278609      0.10646738       0                0                0                0                0                0                0                0                0                0.14874599       -1.0408341e-17  
 1          9          4.2246966        1          0                0                0                0                0.045519702      0.11493339       0                0                0                0                0                0                0                0                0                0.16045309       -8.6736174e-18  
 1          10         4.8190695        1          0                0                0                0                0.048680515      0.12322467       0                0                0                0                0                0                0                0                0                0.17190519       -1.2143064e-17  
 1          11         5.443161         1          0                0                0                0                0.051773738      0.13139916       0                0                0                0                0                0                0                0                0                0.1831729        -1.2143064e-17  
 1          12         6.0984571        1          0                0                0                0                0.054806289      0.13950506       0                0                0                0                0                0                0                0                0                0.19431135       -1.2143064e-17  
 1          13         6.7865181        1          0                0                0                0                0.057780634      0.14758403       0                0                0                0                0                0                0                0                0                0.20536467       -1.2143064e-17  
 1          14         7.508982         1          0                0                0                0                0.060695798      0.15567316       0                0                0                0                0                0                0                0                0                0.21636896       -1.2143064e-17  
