 IPER  ISTEP  TLEN  ILYR  IROW  ICOL  DISP  COM  TOTGL  EST
 1          1          0.38313807       1          1          1          0                0                2000             1000            
 1          1          0.38313807       1          1          2          0.040102605      0.040102605      2000             1000            
 1          1          0.38313807       1          1          3          0                0                2000             1000            
 1          2          0.78543304       1          1          1          0                0                2000             1000            
 1          2          0.78543304       1          1          2          0.063213031      0.063213031      2000             1000            
 1          2          0.78543304       1          1          3          0                0                2000             1000            
 1          3          1.2078428        1          1          1          0                0                2000             1000            
 1          3          1.2078428        1          1          2          0.081233186      0.081233186      2000             1000            
 1          3          1.2078428        1          1          3          0                0                2000             1000            
 1          4          1.651373         1          1          1          0                0                2000             1000            
 1          4          1.651373         1          1          2          0.096820491      0.096820491      2000             1000            
 1          4          1.651373         1          1          3          0                0                2000             1000            
 1          5          2.1170797        1          1          1          0                0                2000             1000            
 1          5          2.1170797        1          1          2          0.11096449       0.11096449       2000             1000            
 1          5          2.1170797        1          1          3          0                0                2000             1000            
 1          6          2.6060717        1          1          1          0                0                2000             1000            
 1          6          2.6060717        1          1          2          0.12415857       0.12415857       2000             1000            
 1          6          2.6060717        1          1          3          0                0                2000             1000            
 1          7          3.1195134        1          1          1          0                0                2000             1000            
 1          7          3.1195134        1          1          2          0.13669057       0.13669057       2000             1000            
 1          7          3.1195134        1          1          3          0                0                2000             1000            
 1          8          3.6586271        1          1          1          0                0                2000             1000            
 1          8          3.6586271        1          1          2          0.14874599       0.14874599       2000             1000            
 1          8          3.6586271        1          1          3          0                0                2000             1000            
 1          9          4.2246966        1          1          1          0                0                2000             1000            
 1          9          4.2246966        1          1          2          0.16045309       0.16045309       2000             1000            
 1          9          4.2246966        1          1          3          0                0                2000             1000            
 1          10         4.8190695        1          1          1          0                0                2000             1000            
 1          10         4.8190695        1          1          2          0.17190519       0.17190519       2000             1000            
 1          10         4.8190695        1          1          3          0                0                2000             1000            
 1          11         5.443161         1          1          1          0                0                2000             1000            
 1          11         5.443161         1          1          2          0.1831729        0.1831729        2000             1000            
 1          11         5.443161         1          1          3          0                0                2000             1000            
 1          12         6.0984571        1          1          1          0                0                2000             1000            
 1          12         6.0984571        1          1          2          0.19431135       0.19431135       2000             1000            
 1          12         6.0984571        1          1          3          0                0                2000             1000            
 1          13         6.7865181        1          1          1          0                0                2000             1000            
 1          13         6.7865181        1          1          2          0.20536467       0.20536467       2000             1000            
 1          13         6.7865181        1          1          3          0                0                2000             1000            
 1          14         7.508982         1          1          1          0                0                2000             1000            
 1          14         7.508982         1          1          2          0.21636896       0.21636896       2000             1000            
 1          14         7.508982         1          1          3          0                0                2000             1000            
 1          15         8.2675692        1          1          1          0                0                2000             1000            
 1          15         8.2675692        1          1          2          0.22735429       0.22735429       2000             1000            
 1          15         8.2675692        1          1          3          0                0                2000             1000            
 1          16         9.0640857        1          1          1          0                0                2000             1000            
 1          16         9.0640857        1          1          2          0.23834616       0.23834616       2000             1000            
 1          16         9.0640857        1          1          3          0                0                2000             1000            
 1          17         9.9004281        1          1          1          0                0                2000             1000            
 1          17         9.9004281        1          1          2          0.24936649       0.24936649       2000             1000            
 1          17         9.9004281        1          1          3          0                0                2000             1000            
 1          18         10.778588        1          1          1          0                0                2000             1000            
 1          18         10.778588        1          1          2          0.26043441       0.26043441       2000             1000            
 1          18         10.778588        1          1          3          0                0                2000             1000            
 1          19         11.700655        1          1          1          0                0                2000             1000            
 1          19         11.700655        1          1          2          0.27156677       0.27156677       2000             1000            
 1          19         11.700655        1          1          3          0                0                2000             1000            
 1          20         12.668826        1          1          1          0                0                2000             1000            
 1          20         12.668826        1          1          2          0.28277854       0.28277854       2000             1000            
 1          20         12.668826        1          1          3          0                0                2000             1000            
 1          21         13.685405        1          1          1          0                0                2000             1000            
 1          21         13.685405        1          1          2          0.29408313       0.29408313       2000             1000            
 1          21         13.685405        1          1          3          0                0                2000             1000            
 1          22         14.752814        1          1          1          0                0                2000             1000            
 1          22         14.752814        1          1          2          0.30549269       0.30549269       2000             1000            
 1          22         14.752814        1          1          3          0                0                2000             1000            
 1          23         15.873592        1          1          1          0                0                2000             1000            
 1          23         15.873592        1          1          2          0.31701837       0.31701837       2000             1000            
 1          23         15.873592        1          1          3          0                0                2000             1000            
 1          24         17.05041         1          1          1          0                0                2000             1000            
 1          24         17.05041         1          1          2          0.32867046       0.32867046       2000             1000            
 1          24         17.05041         1          1          3          0                0                2000             1000            
 1          25         18.286069        1          1          1          0                0                2000             1000            
 1          25         18.286069        1          1          2          0.34045855       0.34045855       2000             1000            
 1          25         18.286069        1          1          3          0                0                2000             1000            
 1          26         19.58351         1          1          1          0                0                2000             1000            
 1          26         19.58351         1          1          2          0.35239175       0.35239175       2000             1000            
 1          26         19.58351         1          1          3          0                0                2000             1000            
 1          27         20.945824        1          1          1          0                0                2000             1000            
 1          27         20.945824        1          1          2          0.36447868       0.36447868       2000             1000            
 1          27         20.945824        1          1          3          0                0                2000             1000            
 1          28         22.376253        1          1          1          0                0                2000             1000            
 1          28         22.376253        1          1          2          0.37672765       0.37672765       2000             1000            
 1          28         22.376253        1          1          3          0                0                2000             1000            
 1          29         23.878204        1          1          1          0                0                2000             1000            
 1          29         23.878204        1          1          2          0.3891467        0.3891467        2000             1000            
 1          29         23.878204        1          1          3          0                0                2000             1000            
 1          30         25.455252        1          1          1          0                0                2000             1000            
 1          30         25.455252        1          1          2          0.40174369       0.40174369       2000             1000            
 1          30         25.455252        1          1          3          0                0                2000             1000            
 1          31         27.111152        1          1          1          0                0                2000             1000            
 1          31         27.111152        1          1          2          0.41452636       0.41452636       2000             1000            
 1          31         27.111152        1          1          3          0                0                2000             1000            
