 IPER  ISTEP  TLEN  IDB  ILYR  IROW  ICOL  CHEAD  COM  EST  HC  RERR
 1          1          0.38313807       1          1          1          2          99.975227        0.040102605      400.02477        490              1.4259037e-08   
 1          2          0.78543304       1          1          1          2          99.849023        0.063213031      400.15098        490              2.0479996e-08   
 1          3          1.2078428        1          1          1          2          99.500193        0.081233186      400.49981        490              1.8904691e-08   
 1          4          1.651373         1          1          1          2          98.800869        0.096820491      401.19913        490              2.5883513e-08   
 1          5          2.1170797        1          1          1          2          97.655118        0.11096449       402.34488        490              2.5257459e-08   
 1          6          2.6060717        1          1          1          2          96.018036        0.12415857       403.98196        490              1.679793e-07    
 1          7          3.1195134        1          1          1          2          93.894355        0.13669057       406.10564        490              2.1697587e-07   
 1          8          3.6586271        1          1          1          2          91.325473        0.14874599       408.67453        490              2.3237757e-07   
 1          9          4.2246966        1          1          1          2          88.373927        0.16045309       411.62607        490              2.351982e-07    
 1          10         4.8190695        1          1          1          2          85.110432        0.17190519       414.88957        490              2.3372636e-07   
 1          11         5.443161         1          1          1          2          81.605113        0.1831729        418.39489        490              2.2994005e-07   
 1          12         6.0984571        1          1          1          2          77.922588        0.19431135       422.07741        490              2.2475909e-07   
 1          13         6.7865181        1          1          1          2          74.119874        0.20536467       425.88013        490              2.1829703e-07   
 1          14         7.508982         1          1          1          2          70.246069        0.21636896       429.75393        490              2.1067283e-07   
 1          15         8.2675692        1          1          1          2          66.342994        0.22735429       433.65701        490              2.0118533e-07   
 1          16         9.0640857        1          1          1          2          62.44629         0.23834616       437.55371        490              1.9248804e-07   
 1          17         9.9004281        1          1          1          2          58.586558        0.24936649       441.41344        490              2.0336614e-07   
 1          18         10.778588        1          1          1          2          54.790352        0.26043441       445.20965        490              2.0814508e-07   
 1          19         11.700655        1          1          1          2          51.080972        0.27156677       448.91903        490              2.2840766e-07   
 1          20         12.668826        1          1          1          2          47.479041        0.28277854       452.52096        490              1.4833336e-06   
 1          21         13.685405        1          1          1          2          44.003022        0.29408313       455.99698        490              1.435676e-06    
 1          22         14.752814        1          1          1          2          40.669395        0.30549269       459.33061        490              1.3974336e-06   
 1          23         15.873592        1          1          1          2          37.492666        0.31701837       462.50733        490              1.3531106e-06   
 1          24         17.05041         1          1          1          2          34.485363        0.32867046       465.51464        490              2.68308e-06     
 1          25         18.286069        1          1          1          2          31.657991        0.34045855       468.34201        490              2.599341e-06    
 1          26         19.58351         1          1          1          2          29.018831        0.35239175       470.98117        490              2.5193156e-06   
 1          27         20.945824        1          1          1          2          26.573846        0.36447868       473.42615        490              2.4420427e-06   
 1          28         22.376253        1          1          1          2          24.326632        0.37672765       475.67337        490              2.3670979e-06   
 1          29         23.878204        1          1          1          2          22.278352        0.3891467        477.72165        490              2.2943179e-06   
 1          30         25.455252        1          1          1          2          20.427694        0.40174369       479.57231        490              2.5282697e-06   
 1          31         27.111152        1          1          1          2          18.771016        0.41452636       481.22898        490              2.4517893e-06   
 1          32         28.849848        1          1          1          2          17.302375        0.42750235       482.69763        490              2.3942179e-06   
 1          33         30.675479        1          1          1          2          16.013843        0.44067931       483.98616        490              2.4450115e-06   
 1          34         32.592391        1          1          1          2          14.895633        0.45406487       485.10437        490              2.436898e-06    
 1          35         34.605148        1          1          1          2          13.936416        0.46766672       486.06358        490              2.3662827e-06   
 1          36         36.718544        1          1          1          2          13.123673        0.48149262       486.87633        490              2.3810245e-06   
 1          37         38.937609        1          1          1          2          12.444           0.49555044       487.556          490              2.3135522e-06   
 1          38         41.267627        1          1          1          2          11.883499        0.50984815       488.1165         490              2.2487123e-06   
 1          39         43.714147        1          1          1          2          11.428138        0.52439386       488.57186        490              2.2074887e-06   
 1          40         46.282992        1          1          1          2          11.064076        0.53919584       488.93592        490              2.1468997e-06   
 1          41         48.98028         1          1          1          2          10.777982        0.55426251       489.22202        490              2.0885494e-06   
 1          42         51.812432        1          1          1          2          10.557307        0.56960249       489.44269        490              2.0323065e-06   
 1          43         54.786192        1          1          1          2          10.390469        0.58522455       489.60953        490              1.9780589e-06   
 1          44         57.908639        1          1          1          2          10.267056        0.60113766       489.73294        490              1.9256972e-06   
 1          45         61.187209        1          1          1          2          10.177907        0.61735099       489.82209        490              1.8757157e-06   
 1          46         64.629708        1          1          1          2          10.115151        0.63387391       489.88485        490              1.8270971e-06   
 1          47         68.244331        1          1          1          2          10.072207        0.65071601       489.92779        490              1.7804112e-06   
 1          48         72.039686        1          1          1          2          10.043723        0.66788708       489.95628        490              1.7350645e-06   
 1          49         76.024808        1          1          1          2          10.025469        0.68539712       489.97453        490              1.6907434e-06   
 1          50         80.209187        1          1          1          2          10.014209        0.70325638       489.98579        490              1.6478602e-06   
 1          51         84.602784        1          1          1          2          10.007554        0.72147532       489.99245        490              1.6062639e-06   
 1          52         89.216062        1          1          1          2          10.003803        0.74006463       489.9962         490              1.5659211e-06   
 1          53         94.060003        1          1          1          2          10.0018          0.75903525       489.9982         490              1.5267855e-06   
 1          54         99.146141        1          1          1          2          10.000794        0.77839836       489.99921        490              1.4888062e-06   
 1          55         104.48659        1          1          1          2          10.000323        0.79816538       489.99968        490              1.4519356e-06   
 1          56         110.09405        1          1          1          2          10.000119        0.81834799       489.99988        490              1.4161271e-06   
 1          57         115.98189        1          1          1          2          10.000039        0.83895813       489.99996        490              1.3813383e-06   
 1          58         122.16413        1          1          1          2          10.000011        0.86000801       489.99999        490              1.3475282e-06   
 1          59         128.65547        1          1          1          2          10.000003        0.8815101        490              490              1.3146586e-06   
 1          60         135.47138        1          1          1          2          10.000001        0.90347715       490              490              1.2839989e-06   
 1          61         142.62809        1          1          1          2          10               0.92592221       490              490              1.2549347e-06   
 1          62         150.14263        1          1          1          2          10               0.94885859       490              490              1.2252687e-06   
 1          63         158.0329         1          1          1          2          10               0.97229993       490              490              1.196231e-06    
 1          64         166.31769        1          1          1          2          10               0.99626015       490              490              1.1679481e-06   
 1          65         175.01671        1          1          1          2          10               1.0207535        490              490              1.1404048e-06   
 1          66         184.15068        1          1          1          2          10               1.0457946        490              490              1.113576e-06    
 1          67         193.74135        1          1          1          2          10               1.0713982        490              490              1.0874378e-06   
 1          68         203.81156        1          1          1          2          10               1.0975797        490              490              1.0619682e-06   
 1          69         214.38528        1          1          1          2          10               1.1243546        490              490              1.037145e-06    
 1          70         225.48768        1          1          1          2          10               1.1517388        490              490              1.0129486e-06   
 1          71         237.1452         1          1          1          2          10               1.1797487        490              490              9.893591e-07    
 1          72         249.3856         1          1          1          2          10               1.2084009        490              490              9.663584e-07    
 1          73         262.23802        1          1          1          2          10               1.2377125        490              490              9.4392802e-07   
 1          74         275.73305        1          1          1          2          10               1.2677009        490              490              9.2205207e-07   
 1          75         289.90284        1          1          1          2          10               1.2983839        490              490              9.0071393e-07   
 1          76         304.78113        1          1          1          2          10               1.3297799        490              490              8.7989785e-07   
 1          77         320.40332        1          1          1          2          9.9999999        1.3619075        490              490              8.5958982e-07   
 1          78         336.80662        1          1          1          2          9.9999998        1.3947859        490              490              8.3977513e-07   
 1          79         354.03009        1          1          1          2          9.9999996        1.4284347        490              490              8.2043925e-07   
 1          80         372.11474        1          1          1          2          9.9999992        1.4628737        490              490              8.0157042e-07   
 1          81         391.10361        1          1          1          2          9.9999985        1.4981237        490              490              7.8315408e-07   
 1          82         411.04193        1          1          1          2          9.9999971        1.5342055        490              490              7.6518032e-07   
 1          83         431.97716        1          1          1          2          9.9999946        1.5711407        490.00001        490.00001        7.4763634e-07   
 1          84         453.95916        1          1          1          2          9.9999902        1.6089512        490.00001        490.00001        7.3051167e-07   
 1          85         477.04026        1          1          1          2          9.9999825        1.6476595        490.00002        490.00002        7.1379454e-07   
 1          86         501.27541        1          1          1          2          9.9999696        1.6872887        490.00003        490.00003        6.9747439e-07   
 1          87         526.72232        1          1          1          2          9.9999483        1.7278624        490.00005        490.00005        6.8154084e-07   
 1          88         553.44157        1          1          1          2          9.999914         1.7694047        490.00009        490.00009        6.6598434e-07   
 1          89         581.49679        1          1          1          2          9.9998598        1.8119404        490.00014        490.00014        6.5079589e-07   
 1          90         610.95476        1          1          1          2          9.9997759        1.8554947        490.00022        490.00022        6.3596541e-07   
 1          91         641.88564        1          1          1          2          9.9996487        1.9000936        490.00035        490.00035        6.2148421e-07   
 1          92         674.36306        1          1          1          2          9.9994591        1.9457637        490.00054        490.00054        6.073449e-07    
 1          93         708.46435        1          1          1          2          9.9991816        1.9925322        490.00082        490.00082        5.9353724e-07   
 1          94         744.27071        1          1          1          2          9.9987823        2.0404268        490.00122        490.00122        5.80054e-07     
 1          95         781.86738        1          1          1          2          9.9982171        2.0894761        490.00178        490.00178        5.6688795e-07   
 1          96         821.34389        1          1          1          2          9.9974298        2.1397092        490.00257        490.00257        5.5403069e-07   
 1          97         862.79422        1          1          1          2          9.9963494        2.1911562        490.00365        490.00365        5.4147478e-07   
 1          98         906.31707        1          1          1          2          9.9948884        2.2438475        490.00511        490.00511        5.292126e-07    
 1          99         952.01606        1          1          1          2          9.9929401        2.2978147        490.00706        490.00706        5.1723829e-07   
 1          100        1000             1          1          1          2          9.9903767        2.3530897        490.00962        490.00962        5.0554416e-07   
