time,H1_1_2
0.3831380695111,0.5249188561E-10
0.7854330424977,0.2882826246E-10
1.207842764134,0.2141949877E-10
1.651372971851,0.1764906934E-10
2.117079689955,0.1524878743E-10
2.606071743964,0.1354362584E-10
3.119513400673,0.1224986212E-10
3.658627140218,0.1122284760E-10
4.224696566740,0.1038012217E-10
4.819069464588,0.9671008848E-11
5.443161007328,0.9062497481E-11
6.098457127206,0.8532037331E-11
6.786518053077,0.8063605740E-11
7.508982025242,0.7645447291E-11
8.267569196015,0.7268705825E-11
9.064085725327,0.6926563188E-11
9.900428081105,0.6613682335E-11
10.77858755467,0.6325822035E-11
11.70065500192,0.6059557076E-11
12.66882582152,0.5812078685E-11
13.68540518211,0.5581073981E-11
14.75281351073,0.5364615886E-11
15.87359225577,0.5161111261E-11
17.05040993807,0.4969223199E-11
18.28606850449,0.4787819692E-11
19.58350999922,0.4615939904E-11
20.94582356870,0.4452759451E-11
22.37625281664,0.4297568222E-11
23.87820352698,0.4149750210E-11
25.45525177285,0.4008767295E-11
27.11115243100,0.3874146002E-11
28.84984812206,0.3745466869E-11
30.67547859767,0.3622355629E-11
32.59239059707,0.3504476394E-11
34.60514819643,0.3391525673E-11
36.71854367577,0.3283227394E-11
38.93760892907,0.3179328855E-11
41.26762744503,0.3079597420E-11
43.71414688679,0.2983817799E-11
46.28299230064,0.2891789868E-11
48.98027998519,0.2803326882E-11
51.81243205396,0.2718254023E-11
54.78619172617,0.2636407197E-11
57.90863938198,0.2557632040E-11
61.18720942059,0.2481783082E-11
64.62970796114,0.2408723038E-11
68.24433142870,0.2338322206E-11
72.03968606965,0.2270457942E-11
76.02480844264,0.2205014204E-11
80.20918693429,0.2141881142E-11
84.60278435051,0.2080954732E-11
89.21606163755,0.2022136442E-11
94.06000278894,0.1965332923E-11
99.14614099789,0.1910455722E-11
104.4865861173,0.1857421017E-11
110.0940534927,0.1806149362E-11
115.9818942368,0.1756565448E-11
122.1641270182,0.1708597884E-11
128.6554714386,0.1662178975E-11
135.4713830800,0.1617244525E-11
142.6280903035,0.1573733640E-11
150.1426328882,0.1531588552E-11
158.0329026022,0.1490754435E-11
166.3176858018,0.1451179247E-11
175.0167081614,0.1412813569E-11
184.1506816390,0.1375610461E-11
193.7413537904,0.1339525320E-11
203.8115595494,0.1304515744E-11
214.3852755964,0.1270541410E-11
225.4876774458,0.1237563957E-11
237.1451993876,0.1205546869E-11
249.3855974265,0.1174455373E-11
262.2380153673,0.1144256340E-11
275.7330542052,0.1114918190E-11
289.9028449849,0.1086410806E-11
304.7811253037,0.1058705450E-11
320.4033196384,0.1031774685E-11
336.8066236898,0.1005592304E-11
354.0300929438,0.9801332586E-12
372.1147356605,0.9553735975E-12
391.1036105131,0.9312904046E-12
411.0419291082,0.9078617425E-12
431.9771636331,0.8850665994E-12
453.9591598843,0.8628848390E-12
477.0402559480,0.8412971538E-12
501.2754068149,0.8202850213E-12
526.7223152252,0.7998306621E-12
553.4415690560,0.7799170018E-12
581.4967855783,0.7605276341E-12
610.9547629267,0.7416467870E-12
641.8856391426,0.7232592906E-12
674.3630591692,0.7053505466E-12
708.4643501972,0.6879065006E-12
744.2707057765,0.6709136150E-12
781.8673791349,0.6543588441E-12
821.3438861611,0.6382296104E-12
862.7942185387,0.6225137827E-12
906.3170675351,0.6071996551E-12
952.0160589814,0.5922759271E-12
1000.000000000,0.5777316854E-12
