 IPER  ISTEP           DLEN           ILYR    IROW   ICOL            XCORD               YCORD                      FlowX                    FlowY                   FlowZ
 1          1          0.38313807       1          1          1          0.50000000       -0.50000000      -9.28628488e-03  0.00000000e+00   0.00000000e+00  
 1          1          0.38313807       1          1          2          1.50000000       -0.50000000      9.28628488e-03   0.00000000e+00   0.00000000e+00  
 1          1          0.38313807       1          1          3          2.50000000       -0.50000000      0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          2          0.40229497       1          1          1          0.50000000       -0.50000000      -6.02008005e-03  0.00000000e+00   0.00000000e+00  
 1          2          0.40229497       1          1          2          1.50000000       -0.50000000      6.02008005e-03   0.00000000e+00   0.00000000e+00  
 1          2          0.40229497       1          1          3          2.50000000       -0.50000000      0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          3          0.42240972       1          1          1          0.50000000       -0.50000000      -4.65363234e-03  0.00000000e+00   0.00000000e+00  
 1          3          0.42240972       1          1          2          1.50000000       -0.50000000      4.65363234e-03   0.00000000e+00   0.00000000e+00  
 1          3          0.42240972       1          1          3          2.50000000       -0.50000000      0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          4          0.44353021       1          1          1          0.50000000       -0.50000000      -3.97069463e-03  0.00000000e+00   0.00000000e+00  
 1          4          0.44353021       1          1          2          1.50000000       -0.50000000      3.97069463e-03   0.00000000e+00   0.00000000e+00  
 1          4          0.44353021       1          1          3          2.50000000       -0.50000000      0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          5          0.46570672       1          1          1          0.50000000       -0.50000000      -3.57697737e-03  0.00000000e+00   0.00000000e+00  
 1          5          0.46570672       1          1          2          1.50000000       -0.50000000      3.57697737e-03   0.00000000e+00   0.00000000e+00  
 1          5          0.46570672       1          1          3          2.50000000       -0.50000000      0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          6          0.48899205       1          1          1          0.50000000       -0.50000000      -3.32467329e-03  0.00000000e+00   0.00000000e+00  
 1          6          0.48899205       1          1          2          1.50000000       -0.50000000      3.32467329e-03   0.00000000e+00   0.00000000e+00  
 1          6          0.48899205       1          1          3          2.50000000       -0.50000000      0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          7          0.51344166       1          1          1          0.50000000       -0.50000000      -3.15196662e-03  0.00000000e+00   0.00000000e+00  
 1          7          0.51344166       1          1          2          1.50000000       -0.50000000      3.15196662e-03   0.00000000e+00   0.00000000e+00  
 1          7          0.51344166       1          1          3          2.50000000       -0.50000000      0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          8          0.53911374       1          1          1          0.50000000       -0.50000000      -3.02884644e-03  0.00000000e+00   0.00000000e+00  
 1          8          0.53911374       1          1          2          1.50000000       -0.50000000      3.02884644e-03   0.00000000e+00   0.00000000e+00  
 1          8          0.53911374       1          1          3          2.50000000       -0.50000000      0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          9          0.56606943       1          1          1          0.50000000       -0.50000000      -2.93933597e-03  0.00000000e+00   0.00000000e+00  
 1          9          0.56606943       1          1          2          1.50000000       -0.50000000      2.93933597e-03   0.00000000e+00   0.00000000e+00  
 1          9          0.56606943       1          1          3          2.50000000       -0.50000000      0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          10         0.59437290       1          1          1          0.50000000       -0.50000000      -2.87392968e-03  0.00000000e+00   0.00000000e+00  
 1          10         0.59437290       1          1          2          1.50000000       -0.50000000      2.87392968e-03   0.00000000e+00   0.00000000e+00  
 1          10         0.59437290       1          1          3          2.50000000       -0.50000000      0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          11         0.62409154       1          1          1          0.50000000       -0.50000000      -2.82667724e-03  0.00000000e+00   0.00000000e+00  
 1          11         0.62409154       1          1          2          1.50000000       -0.50000000      2.82667724e-03   0.00000000e+00   0.00000000e+00  
 1          11         0.62409154       1          1          3          2.50000000       -0.50000000      0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          12         0.65529612       1          1          1          0.50000000       -0.50000000      -2.79354686e-03  0.00000000e+00   0.00000000e+00  
 1          12         0.65529612       1          1          2          1.50000000       -0.50000000      2.79354686e-03   0.00000000e+00   0.00000000e+00  
 1          12         0.65529612       1          1          3          2.50000000       -0.50000000      0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          13         0.68806093       1          1          1          0.50000000       -0.50000000      -2.77176096e-03  0.00000000e+00   0.00000000e+00  
 1          13         0.68806093       1          1          2          1.50000000       -0.50000000      2.77176096e-03   0.00000000e+00   0.00000000e+00  
 1          13         0.68806093       1          1          3          2.50000000       -0.50000000      0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          14         0.72246397       1          1          1          0.50000000       -0.50000000      -2.75928389e-03  0.00000000e+00   0.00000000e+00  
 1          14         0.72246397       1          1          2          1.50000000       -0.50000000      2.75928389e-03   0.00000000e+00   0.00000000e+00  
 1          14         0.72246397       1          1          3          2.50000000       -0.50000000      0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          15         0.75858717       1          1          1          0.50000000       -0.50000000      -2.75463095e-03  0.00000000e+00   0.00000000e+00  
 1          15         0.75858717       1          1          2          1.50000000       -0.50000000      2.75463095e-03   0.00000000e+00   0.00000000e+00  
 1          15         0.75858717       1          1          3          2.50000000       -0.50000000      0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          16         0.79651653       1          1          1          0.50000000       -0.50000000      -2.75665923e-03  0.00000000e+00   0.00000000e+00  
 1          16         0.79651653       1          1          2          1.50000000       -0.50000000      2.75665923e-03   0.00000000e+00   0.00000000e+00  
 1          16         0.79651653       1          1          3          2.50000000       -0.50000000      0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          17         0.83634236       1          1          1          0.50000000       -0.50000000      -2.76450377e-03  0.00000000e+00   0.00000000e+00  
 1          17         0.83634236       1          1          2          1.50000000       -0.50000000      2.76450377e-03   0.00000000e+00   0.00000000e+00  
 1          17         0.83634236       1          1          3          2.50000000       -0.50000000      0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          18         0.87815947       1          1          1          0.50000000       -0.50000000      -2.77747685e-03  0.00000000e+00   0.00000000e+00  
 1          18         0.87815947       1          1          2          1.50000000       -0.50000000      2.77747685e-03   0.00000000e+00   0.00000000e+00  
 1          18         0.87815947       1          1          3          2.50000000       -0.50000000      0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          19         0.92206745       1          1          1          0.50000000       -0.50000000      -2.79504428e-03  0.00000000e+00   0.00000000e+00  
 1          19         0.92206745       1          1          2          1.50000000       -0.50000000      2.79504428e-03   0.00000000e+00   0.00000000e+00  
 1          19         0.92206745       1          1          3          2.50000000       -0.50000000      0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          20         0.96817082       1          1          1          0.50000000       -0.50000000      -2.81677185e-03  0.00000000e+00   0.00000000e+00  
 1          20         0.96817082       1          1          2          1.50000000       -0.50000000      2.81677185e-03   0.00000000e+00   0.00000000e+00  
 1          20         0.96817082       1          1          3          2.50000000       -0.50000000      0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          21         1.01657936       1          1          1          0.50000000       -0.50000000      -2.84231599e-03  0.00000000e+00   0.00000000e+00  
 1          21         1.01657936       1          1          2          1.50000000       -0.50000000      2.84231599e-03   0.00000000e+00   0.00000000e+00  
 1          21         1.01657936       1          1          3          2.50000000       -0.50000000      0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          22         1.06740833       1          1          1          0.50000000       -0.50000000      -2.87139325e-03  0.00000000e+00   0.00000000e+00  
 1          22         1.06740833       1          1          2          1.50000000       -0.50000000      2.87139325e-03   0.00000000e+00   0.00000000e+00  
 1          22         1.06740833       1          1          3          2.50000000       -0.50000000      0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          23         1.12077875       1          1          1          0.50000000       -0.50000000      -2.90377604e-03  0.00000000e+00   0.00000000e+00  
 1          23         1.12077875       1          1          2          1.50000000       -0.50000000      2.90377604e-03   0.00000000e+00   0.00000000e+00  
 1          23         1.12077875       1          1          3          2.50000000       -0.50000000      0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          24         1.17681768       1          1          1          0.50000000       -0.50000000      -2.93927497e-03  0.00000000e+00   0.00000000e+00  
 1          24         1.17681768       1          1          2          1.50000000       -0.50000000      2.93927497e-03   0.00000000e+00   0.00000000e+00  
 1          24         1.17681768       1          1          3          2.50000000       -0.50000000      0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          25         1.23565857       1          1          1          0.50000000       -0.50000000      -2.97773587e-03  0.00000000e+00   0.00000000e+00  
 1          25         1.23565857       1          1          2          1.50000000       -0.50000000      2.97773587e-03   0.00000000e+00   0.00000000e+00  
 1          25         1.23565857       1          1          3          2.50000000       -0.50000000      0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          26         1.29744149       1          1          1          0.50000000       -0.50000000      -3.01902991e-03  0.00000000e+00   0.00000000e+00  
 1          26         1.29744149       1          1          2          1.50000000       -0.50000000      3.01902991e-03   0.00000000e+00   0.00000000e+00  
 1          26         1.29744149       1          1          3          2.50000000       -0.50000000      0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          27         1.36231357       1          1          1          0.50000000       -0.50000000      -3.06305027e-03  0.00000000e+00   0.00000000e+00  
 1          27         1.36231357       1          1          2          1.50000000       -0.50000000      3.06305027e-03   0.00000000e+00   0.00000000e+00  
 1          27         1.36231357       1          1          3          2.50000000       -0.50000000      0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          28         1.43042925       1          1          1          0.50000000       -0.50000000      -3.10970758e-03  0.00000000e+00   0.00000000e+00  
 1          28         1.43042925       1          1          2          1.50000000       -0.50000000      3.10970758e-03   0.00000000e+00   0.00000000e+00  
 1          28         1.43042925       1          1          3          2.50000000       -0.50000000      0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          29         1.50195071       1          1          1          0.50000000       -0.50000000      -3.15892520e-03  0.00000000e+00   0.00000000e+00  
 1          29         1.50195071       1          1          2          1.50000000       -0.50000000      3.15892520e-03   0.00000000e+00   0.00000000e+00  
 1          29         1.50195071       1          1          3          2.50000000       -0.50000000      0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          30         1.57704825       1          1          1          0.50000000       -0.50000000      -3.21063899e-03  0.00000000e+00   0.00000000e+00  
 1          30         1.57704825       1          1          2          1.50000000       -0.50000000      3.21063899e-03   0.00000000e+00   0.00000000e+00  
 1          30         1.57704825       1          1          3          2.50000000       -0.50000000      0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          31         1.65590066       1          1          1          0.50000000       -0.50000000      -3.26479215e-03  0.00000000e+00   0.00000000e+00  
 1          31         1.65590066       1          1          2          1.50000000       -0.50000000      3.26479215e-03   0.00000000e+00   0.00000000e+00  
 1          31         1.65590066       1          1          3          2.50000000       -0.50000000      0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          32         1.73869569       1          1          1          0.50000000       -0.50000000      -3.32133708e-03  0.00000000e+00   0.00000000e+00  
 1          32         1.73869569       1          1          2          1.50000000       -0.50000000      3.32133708e-03   0.00000000e+00   0.00000000e+00  
 1          32         1.73869569       1          1          3          2.50000000       -0.50000000      0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          33         1.82563048       1          1          1          0.50000000       -0.50000000      -3.38023655e-03  0.00000000e+00   0.00000000e+00  
 1          33         1.82563048       1          1          2          1.50000000       -0.50000000      3.38023655e-03   0.00000000e+00   0.00000000e+00  
