 IPER  ISTEP  TLEN  ILYR  STAIN  TOPIN  BOTIN  CSTIN  IBEIN  IBVIN  WSTIN  CNHIN  STAOUT  TOPOUT  BOTOUT  CSTOUT  IBEOUT  IBVOUT  WSTOUT  CNHOUT  ABER
 1          1          0.38313807       1          0                0                0                0                0.0061472025     0.012425367      0                0                0                0                0                0                0                0                0                0.01857257       0               
 1          2          0.78543304       1          0                0                0                0                0.0093163257     0.021296404      0                0                0                0                0                0                0                0                0                0.03061273       -1.7347235e-18  
 1          3          1.2078428        1          0                0                0                0                0.011798532      0.028121462      0                0                0                0                0                0                0                0                0                0.039919995      -3.469447e-18   
 1          4          1.651373         1          0                0                0                0                0.013956057      0.033905327      0                0                0                0                0                0                0                0                0                0.047861384      -3.469447e-18   
 1          5          2.1170797        1          0                0                0                0                0.015905896      0.039109442      0                0                0                0                0                0                0                0                0                0.055015339      -2.6020852e-18  
 1          6          2.6060717        1          0                0                0                0                0.017735693      0.043928992      0                0                0                0                0                0                0                0                0                0.061664685      -3.469447e-18   
 1          7          3.1195134        1          0                0                0                0                0.019472955      0.048495663      0                0                0                0                0                0                0                0                0                0.067968618      -4.3368087e-18  
 1          8          3.6586271        1          0                0                0                0                0.02114869       0.052877622      0                0                0                0                0                0                0                0                0                0.074026311      -4.3368087e-18  
 1          9          4.2246966        1          0                0                0                0                0.022777167      0.057127816      0                0                0                0                0                0                0                0                0                0.079904983      -4.3368087e-18  
 1          10         4.8190695        1          0                0                0                0                0.024372749      0.061280093      0                0                0                0                0                0                0                0                0                0.085652843      -5.2041704e-18  
 1          11         5.443161         1          0                0                0                0                0.02594363       0.065362567      0                0                0                0                0                0                0                0                0                0.091306197      -4.3368087e-18  
 1          12         6.0984571        1          0                0                0                0                0.027498905      0.069394385      0                0                0                0                0                0                0                0                0                0.096893291      -4.3368087e-18  
 1          13         6.7865181        1          0                0                0                0                0.029042484      0.073394329      0                0                0                0                0                0                0                0                0                0.10243681       -4.3368087e-18  
 1          14         7.508982         1          0                0                0                0                0.030582158      0.077373223      0                0                0                0                0                0                0                0                0                0.10795538       -3.469447e-18   
 1          15         8.2675692        1          0                0                0                0                0.032118552      0.08134609       0                0                0                0                0                0                0                0                0                0.11346464       -3.469447e-18   
 1          16         9.0640857        1          0                0                0                0                0.033659511      0.08531845       0                0                0                0                0                0                0                0                0                0.11897796       -3.469447e-18   
 1          17         9.9004281        1          0                0                0                0                0.035203217      0.089303751      0                0                0                0                0                0                0                0                0                0.12450697       -3.469447e-18   
 1          18         10.778588        1          0                0                0                0                0.036757836      0.093304086      0                0                0                0                0                0                0                0                0                0.13006192       -2.6020852e-18  
 1          19         11.700655        1          0                0                0                0                0.038319891      0.09733212       0                0                0                0                0                0                0                0                0                0.13565201       -2.6020852e-18  
 1          20         12.668826        1          0                0                0                0                0.039897623      0.10138793       0                0                0                0                0                0                0                0                0                0.14128555       -2.6020852e-18  
 1          21         13.685405        1          0                0                0                0                0.041486628      0.10548356       0                0                0                0                0                0                0                0                0                0.14697019       -2.6020852e-18  
 1          22         14.752814        1          0                0                0                0                0.043094693      0.10961828       0                0                0                0                0                0                0                0                0                0.15271297       -1.7347235e-18  
 1          23         15.873592        1          0                0                0                0                0.044717185      0.11380334       0                0                0                0                0                0                0                0                0                0.15852052       -1.7347235e-18  
 1          24         17.05041         1          0                0                0                0                0.046360712      0.11803836       0                0                0                0                0                0                0                0                0                0.16439907       -2.6020852e-18  
 1          25         18.286069        1          0                0                0                0                0.048021111      0.12233344       0                0                0                0                0                0                0                0                0                0.17035455       -2.6020852e-18  
 1          26         19.58351         1          0                0                0                0                0.049702924      0.12668968       0                0                0                0                0                0                0                0                0                0.17639261       -2.6020852e-18  
 1          27         20.945824        1          0                0                0                0                0.051403213      0.13111549       0                0                0                0                0                0                0                0                0                0.18251871       0               
 1          28         22.376253        1          0                0                0                0                0.053123429      0.13561469       0                0                0                0                0                0                0                0                0                0.18873812       8.6736174e-19   
 1          29         23.878204        1          0                0                0                0                0.054862726      0.14019325       0                0                0                0                0                0                0                0                0                0.19505597       0               
 1          30         25.455252        1          0                0                0                0                0.056618308      0.14485894       0                0                0                0                0                0                0                0                0                0.20147725       0               
 1          31         27.111152        1          0                0                0                0                0.058391948      0.14961489       0                0                0                0                0                0                0                0                0                0.20800683       8.6736174e-19   
 1          32         28.849848        1          0                0                0                0                0.060176809      0.1544727        0                0                0                0                0                0                0                0                0                0.21464951       8.6736174e-19   
 1          33         30.675479        1          0                0                0                0                0.061974233      0.15943575       0                0                0                0                0                0                0                0                0                0.22140998       0               
 1          34         32.592391        1          0                0                0                0                0.063780783      0.16451212       0                0                0                0                0                0                0                0                0                0.2282929        -8.6736174e-19  
 1          35         34.605148        1          0                0                0                0                0.06559003       0.16971281       0                0                0                0                0                0                0                0                0                0.23530284       -8.6736174e-19  
 1          36         36.718544        1          0                0                0                0                0.067401143      0.17504321       0                0                0                0                0                0                0                0                0                0.24244435       8.6736174e-19   
 1          37         38.937609        1          0                0                0                0                0.06920949       0.18051243       0                0                0                0                0                0                0                0                0                0.24972192       1.7347235e-18   
 1          38         41.267627        1          0                0                0                0                0.071008854      0.18613112       0                0                0                0                0                0                0                0                0                0.25713997       1.7347235e-18   
 1          39         43.714147        1          0                0                0                0                0.072794512      0.1919084        0                0                0                0                0                0                0                0                0                0.26470292       2.6020852e-18   
 1          40         46.282992        1          0                0                0                0                0.074561962      0.19785314       0                0                0                0                0                0                0                0                0                0.27241511       2.6020852e-18   
 1          41         48.98028         1          0                0                0                0                0.076305517      0.20397535       0                0                0                0                0                0                0                0                0                0.28028086       2.6020852e-18   
 1          42         51.812432        1          0                0                0                0                0.078019377      0.2102851        0                0                0                0                0                0                0                0                0                0.28830448       2.6020852e-18   
 1          43         54.786192        1          0                0                0                0                0.079697714      0.21679251       0                0                0                0                0                0                0                0                0                0.29649022       8.6736174e-19   
 1          44         57.908639        1          0                0                0                0                0.081334762      0.22350757       0                0                0                0                0                0                0                0                0                0.30484233       8.6736174e-19   
 1          45         61.187209        1          0                0                0                0                0.082924898      0.23044012       0                0                0                0                0                0                0                0                0                0.31336502       8.6736174e-19   
 1          46         64.629708        1          0                0                0                0                0.084462731      0.23759975       0                0                0                0                0                0                0                0                0                0.32206248       2.6020852e-18   
 1          47         68.244331        1          0                0                0                0                0.085943192      0.24499573       0                0                0                0                0                0                0                0                0                0.33093892       6.0715322e-18   
