 IPER  ISTEP           DLEN           ILYR    IROW   ICOL                     STA                     FBC                     CST                     IBE                     IBV                     WST                     CNH                     ABER
 1          1          0.38313807       1          1          1          -0.00000000e+00  1.02518801e-01   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -1.02518801e-01  0.00000000e+00  
 1          1          0.38313807       1          1          2          -0.00000000e+00  -2.05037602e-01  0.00000000e+00   5.71583890e-02   1.47879213e-01   0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          1          0.38313807       1          1          3          -0.00000000e+00  1.02518801e-01   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -1.02518801e-01  0.00000000e+00  
 1          2          0.40229497       1          1          1          -0.00000000e+00  5.55056863e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -5.55056863e-02  0.00000000e+00  
 1          2          0.40229497       1          1          2          -0.00000000e+00  -1.11011373e-01  0.00000000e+00   2.14109135e-02   8.96004591e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          2          0.40229497       1          1          3          -0.00000000e+00  5.55056863e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -5.55056863e-02  0.00000000e+00  
 1          3          0.42240972       1          1          1          -0.00000000e+00  4.34520770e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -4.34520770e-02  0.00000000e+00  
 1          3          0.42240972       1          1          2          -0.00000000e+00  -8.69041541e-02  0.00000000e+00   1.02313741e-02   7.66727800e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          3          0.42240972       1          1          3          -0.00000000e+00  4.34520770e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -4.34520770e-02  0.00000000e+00  
 1          4          0.44353021       1          1          1          -0.00000000e+00  3.73858786e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -3.73858786e-02  0.00000000e+00  
 1          4          0.44353021       1          1          2          -0.00000000e+00  -7.47717572e-02  0.00000000e+00   4.72468027e-03   7.00470770e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          4          0.44353021       1          1          3          -0.00000000e+00  3.73858786e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -3.73858786e-02  0.00000000e+00  
 1          5          0.46570672       1          1          1          -0.00000000e+00  3.36794253e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -3.36794253e-02  0.00000000e+00  
 1          5          0.46570672       1          1          2          -0.00000000e+00  -6.73588505e-02  0.00000000e+00   2.03899315e-03   6.53198574e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          5          0.46570672       1          1          3          -0.00000000e+00  3.36794253e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -3.36794253e-02  0.00000000e+00  
 1          6          0.48899205       1          1          1          -0.00000000e+00  3.11978560e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -3.11978560e-02  0.00000000e+00  
 1          6          0.48899205       1          1          2          -0.00000000e+00  -6.23957121e-02  0.00000000e+00   8.10382942e-04   6.15853291e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          6          0.48899205       1          1          3          -0.00000000e+00  3.11978560e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -3.11978560e-02  0.00000000e+00  
 1          7          0.51344166       1          1          1          -0.00000000e+00  2.94468645e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -2.94468645e-02  0.00000000e+00  
 1          7          0.51344166       1          1          2          -0.00000000e+00  -5.88937290e-02  0.00000000e+00   2.92233387e-04   5.86014957e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00  
