 IPER  ISTEP  TLEN  STAIN  CSTIN  IBEIN  IBVIN  WSTIN  CNHIN  STAOUT  CSTOUT  IBEOUT  IBVOUT  WSTOUT  CNHOUT  ABER  RBER
 1          1          0.38313807       0                0                0.057158389      0.14787921       0                0                0                0                0                0                0                0.2050376        0                0               
 1          2          0.78543304       0                0                0.078569302      0.23747967       0                0                0                0                0                0                0                0.31604897       0                0               
 1          3          1.2078428        0                0                0.088800677      0.31415245       0                0                0                0                0                0                0                0.40295313       0                0               
 1          4          1.651373         0                0                0.093525357      0.38419953       0                0                0                0                0                0                0                0.47772489       0                0               
 1          5          2.1170797        0                0                0.09556435       0.44951939       0                0                0                0                0                0                0                0.54508374       0                0               
 1          6          2.6060717        0                0                0.096374733      0.51110472       0                0                0                0                0                0                0                0.60747945       6.9388939e-18    0               
 1          7          3.1195134        0                0                0.096666966      0.56970621       0                0                0                0                0                0                0                0.66637318       6.9388939e-18    0               
 1          8          3.6586271        0                0                0.096760793      0.6259565        0                0                0                0                0                0                0                0.72271729       0                0               
 1          9          4.2246966        0                0                0.096786949      0.680386         0                0                0                0                0                0                0                0.77717295       0                0               
 1          10         4.8190695        0                0                0.096793068      0.73342856       0                0                0                0                0                0                0                0.83022162       -6.9388939e-18   0               
 1          11         5.443161         0                0                0.096794212      0.78543323       0                0                0                0                0                0                0                0.88222744       -1.3877788e-17   0               
 1          12         6.0984571        0                0                0.09679437       0.83668015       0                0                0                0                0                0                0                0.93347452       -1.3877788e-17   0               
 1          13         6.7865181        0                0                0.096794385      0.88739605       0                0                0                0                0                0                0                0.98419044       -1.3877788e-17   0               
 1          14         7.508982         0                0                0.096794386      0.9377673        0                0                0                0                0                0                0                1.0345617        -1.3877788e-17   0               
 1          15         8.2675692        0                0                0.096794386      0.98794983       0                0                0                0                0                0                0                1.0847442        -1.3877788e-17   0               
 1          16         9.0640857        0                0                0.096794386      1.0380764        0                0                0                0                0                0                0                1.1348707        -1.3877788e-17   0               
 1          17         9.9004281        0                0                0.096794386      1.0882617        0                0                0                0                0                0                0                1.1850561        -6.9388939e-18   0               
 1          18         10.778588        0                0                0.096794386      1.1386067        0                0                0                0                0                0                0                1.2354011        0                0               
 1          19         11.700655        0                0                0.096794386      1.1892011        0                0                0                0                0                0                0                1.2859954        0                0               
 1          20         12.668826        0                0                0.096794386      1.2401256        0                0                0                0                0                0                0                1.33692          0                0               
 1          21         13.685405        0                0                0.096794386      1.291454         0                0                0                0                0                0                0                1.3882484        -6.9388939e-18   0               
 1          22         14.752814        0                0                0.096794386      1.3432542        0                0                0                0                0                0                0                1.4400486        -6.9388939e-18   0               
 1          23         15.873592        0                0                0.096794386      1.3955892        0                0                0                0                0                0                0                1.4923836        -6.9388939e-18   0               
 1          24         17.05041         0                0                0.096794386      1.4485182        0                0                0                0                0                0                0                1.5453126        -6.9388939e-18   0               
 1          25         18.286069        0                0                0.096794386      1.5020974        0                0                0                0                0                0                0                1.5988918        -6.9388939e-18   0               
 1          26         19.58351         0                0                0.096794386      1.5563801        0                0                0                0                0                0                0                1.6531745        -6.9388939e-18   0               
 1          27         20.945824        0                0                0.096794386      1.6114176        0                0                0                0                0                0                0                1.708212         -6.9388939e-18   0               
 1          28         22.376253        0                0                0.096794386      1.6672595        0                0                0                0                0                0                0                1.7640538        -6.9388939e-18   0               
 1          29         23.878204        0                0                0.096794386      1.7239537        0                0                0                0                0                0                0                1.8207481        0                0               
 1          30         25.455252        0                0                0.096794386      1.7815473        0                0                0                0                0                0                0                1.8783417        0                0               
 1          31         27.111152        0                0                0.096794386      1.8400864        0                0                0                0                0                0                0                1.9368808        0                0               
 1          32         28.849848        0                0                0.096794386      1.8996163        0                0                0                0                0                0                0                1.9964107        0                0               
 1          33         30.675479        0                0                0.096794386      1.960182         0                0                0                0                0                0                0                2.0569764        0                0               
 1          34         32.592391        0                0                0.096794386      2.0218279        0                0                0                0                0                0                0                2.1186223        1.3877788e-17    0               
 1          35         34.605148        0                0                0.096794386      2.0845984        0                0                0                0                0                0                0                2.1813928        1.3877788e-17    0               
 1          36         36.718544        0                0                0.096794386      2.1485378        0                0                0                0                0                0                0                2.2453322        2.7755576e-17    0               
 1          37         38.937609        0                0                0.096794386      2.2136904        0                0                0                0                0                0                0                2.3104848        4.1633363e-17    0               
 1          38         41.267627        0                0                0.096794386      2.2801005        0                0                0                0                0                0                0                2.3768949        4.1633363e-17    0               
 1          39         43.714147        0                0                0.096794386      2.3478128        0                0                0                0                0                0                0                2.4446072        4.1633363e-17    0               
 1          40         46.282992        0                0                0.096794386      2.4168722        0                0                0                0                0                0                0                2.5136666        4.1633363e-17    0               
 1          41         48.98028         0                0                0.096794386      2.4873241        0                0                0                0                0                0                0                2.5841185        2.7755576e-17    0               
 1          42         51.812432        0                0                0.096794386      2.5592141        0                0                0                0                0                0                0                2.6560085        2.7755576e-17    0               
 1          43         54.786192        0                0                0.096794386      2.6325887        0                0                0                0                0                0                0                2.7293831        2.7755576e-17    0               
 1          44         57.908639        0                0                0.096794386      2.7074945        0                0                0                0                0                0                0                2.8042889        4.1633363e-17    0               
 1          45         61.187209        0                0                0.096794386      2.7839791        0                0                0                0                0                0                0                2.8807735        5.5511151e-17    0               
 1          46         64.629708        0                0                0.096794386      2.8620907        0                0                0                0                0                0                0                2.9588851        4.1633363e-17    0               
 1          47         68.244331        0                0                0.096794386      2.941878         0                0                0                0                0                0                0                3.0386724        4.1633363e-17    0               
 1          48         72.039686        0                0                0.096794386      3.0233907        0                0                0                0                0                0                0                3.120185         4.1633363e-17    0               
 1          49         76.024808        0                0                0.096794386      3.106679         0                0                0                0                0                0                0                3.2034734        4.1633363e-17    0               
 1          50         80.209187        0                0                0.096794386      3.1917943        0                0                0                0                0                0                0                3.2885887        4.1633363e-17    0               
 1          51         84.602784        0                0                0.096794386      3.2787882        0                0                0                0                0                0                0                3.3755825        4.1633363e-17    0               
 1          52         89.216062        0                0                0.096794386      3.3677132        0                0                0                0                0                0                0                3.4645076        5.5511151e-17    0               
 1          53         94.060003        0                0                0.096794386      3.4586226        0                0                0                0                0                0                0                3.555417         5.5511151e-17    0               
 1          54         99.146141        0                0                0.096794386      3.5515697        0                0                0                0                0                0                0                3.6483641        5.5511151e-17    0               
 1          55         104.48659        0                0                0.096794386      3.6466083        0                0                0                0                0                0                0                3.7434027        5.5511151e-17    0               
 1          56         110.09405        0                0                0.096794386      3.7437921        0                0                0                0                0                0                0                3.8405864        6.9388939e-17    0               
 1          57         115.98189        0                0                0.096794386      3.843174         0                0                0                0                0                0                0                3.9399683        6.9388939e-17    0               
 1          58         122.16413        0                0                0.096794386      3.9448061        0                0                0                0                0                0                0                4.0416005        6.9388939e-17    0               
 1          59         128.65547        0                0                0.096794386      4.0487389        0                0                0                0                0                0                0                4.1455333        6.9388939e-17    0               
 1          60         135.47138        0                0                0.096794386      4.1550202        0                0                0                0                0                0                0                4.2518146        5.5511151e-17    0               
 1          61         142.62809        0                0                0.096794386      4.2636947        0                0                0                0                0                0                0                4.360489         6.9388939e-17    0               
 1          62         150.14263        0                0                0.096794386      4.3748024        0                0                0                0                0                0                0                4.4715967        8.3266727e-17    0               
 1          63         158.0329         0                0                0.096794386      4.4883778        0                0                0                0                0                0                0                4.5851721        8.3266727e-17    0               
 1          64         166.31769        0                0                0.096794386      4.6044483        0                0                0                0                0                0                0                4.7012426        8.3266727e-17    0               
 1          65         175.01671        0                0                0.096794386      4.7230328        0                0                0                0                0                0                0                4.8198271        8.3266727e-17    0               
 1          66         184.15068        0                0                0.096794386      4.8441401        0                0                0                0                0                0                0                4.9409345        8.3266727e-17    0               
 1          67         193.74135        0                0                0.096794386      4.9677673        0                0                0                0                0                0                0                5.0645616        8.3266727e-17    0               
 1          68         203.81156        0                0                0.096794386      5.0938979        0                0                0                0                0                0                0                5.1906923        8.3266727e-17    0               
 1          69         214.38528        0                0                0.096794386      5.2225004        0                0                0                0                0                0                0                5.3192947        8.3266727e-17    0               
 1          70         225.48768        0                0                0.096794386      5.3535262        0                0                0                0                0                0                0                5.4503206        1.110223e-16     0               
 1          71         237.1452         0                0                0.096794386      5.4869086        0                0                0                0                0                0                0                5.583703         1.110223e-16     0               
 1          72         249.3856         0                0                0.096794386      5.6225606        0                0                0                0                0                0                0                5.719355         1.110223e-16     0               
