 IPER  ISTEP  TLEN  ILYR  IROW  ICOL  DISP  COM  TOTGL  EST
 1          1          0.38313807       1          1          1          0                0                2000             1000            
 1          1          0.38313807       1          1          2          0.2050376        0.2050376        2000             1000            
 1          1          0.38313807       1          1          3          0                0                2000             1000            
 1          2          0.78543304       1          1          1          0                0                2000             1000            
 1          2          0.78543304       1          1          2          0.31604897       0.31604897       2000             1000            
 1          2          0.78543304       1          1          3          0                0                2000             1000            
 1          3          1.2078428        1          1          1          0                0                2000             1000            
 1          3          1.2078428        1          1          2          0.40295313       0.40295313       2000             1000            
 1          3          1.2078428        1          1          3          0                0                2000             1000            
 1          4          1.651373         1          1          1          0                0                2000             1000            
 1          4          1.651373         1          1          2          0.47772489       0.47772489       2000             1000            
 1          4          1.651373         1          1          3          0                0                2000             1000            
 1          5          2.1170797        1          1          1          0                0                2000             1000            
 1          5          2.1170797        1          1          2          0.54508374       0.54508374       2000             1000            
 1          5          2.1170797        1          1          3          0                0                2000             1000            
 1          6          2.6060717        1          1          1          0                0                2000             1000            
 1          6          2.6060717        1          1          2          0.60747945       0.60747945       2000             1000            
 1          6          2.6060717        1          1          3          0                0                2000             1000            
 1          7          3.1195134        1          1          1          0                0                2000             1000            
 1          7          3.1195134        1          1          2          0.66637318       0.66637318       2000             1000            
 1          7          3.1195134        1          1          3          0                0                2000             1000            
 1          8          3.6586271        1          1          1          0                0                2000             1000            
 1          8          3.6586271        1          1          2          0.72271729       0.72271729       2000             1000            
 1          8          3.6586271        1          1          3          0                0                2000             1000            
 1          9          4.2246966        1          1          1          0                0                2000             1000            
 1          9          4.2246966        1          1          2          0.77717295       0.77717295       2000             1000            
 1          9          4.2246966        1          1          3          0                0                2000             1000            
 1          10         4.8190695        1          1          1          0                0                2000             1000            
 1          10         4.8190695        1          1          2          0.83022162       0.83022162       2000             1000            
 1          10         4.8190695        1          1          3          0                0                2000             1000            
 1          11         5.443161         1          1          1          0                0                2000             1000            
 1          11         5.443161         1          1          2          0.88222744       0.88222744       2000             1000            
 1          11         5.443161         1          1          3          0                0                2000             1000            
 1          12         6.0984571        1          1          1          0                0                2000             1000            
 1          12         6.0984571        1          1          2          0.93347452       0.93347452       2000             1000            
 1          12         6.0984571        1          1          3          0                0                2000             1000            
 1          13         6.7865181        1          1          1          0                0                2000             1000            
 1          13         6.7865181        1          1          2          0.98419044       0.98419044       2000             1000            
 1          13         6.7865181        1          1          3          0                0                2000             1000            
 1          14         7.508982         1          1          1          0                0                2000             1000            
 1          14         7.508982         1          1          2          1.0345617        1.0345617        2000             1000            
 1          14         7.508982         1          1          3          0                0                2000             1000            
 1          15         8.2675692        1          1          1          0                0                2000             1000            
 1          15         8.2675692        1          1          2          1.0847442        1.0847442        2000             1000            
 1          15         8.2675692        1          1          3          0                0                2000             1000            
 1          16         9.0640857        1          1          1          0                0                2000             1000            
 1          16         9.0640857        1          1          2          1.1348707        1.1348707        2000             1000            
 1          16         9.0640857        1          1          3          0                0                2000             1000            
 1          17         9.9004281        1          1          1          0                0                2000             1000            
 1          17         9.9004281        1          1          2          1.1850561        1.1850561        2000             1000            
 1          17         9.9004281        1          1          3          0                0                2000             1000            
 1          18         10.778588        1          1          1          0                0                2000             1000            
 1          18         10.778588        1          1          2          1.2354011        1.2354011        2000             1000            
 1          18         10.778588        1          1          3          0                0                2000             1000            
 1          19         11.700655        1          1          1          0                0                2000             1000            
 1          19         11.700655        1          1          2          1.2859954        1.2859954        2000             1000            
 1          19         11.700655        1          1          3          0                0                2000             1000            
 1          20         12.668826        1          1          1          0                0                2000             1000            
 1          20         12.668826        1          1          2          1.33692          1.33692          2000             1000            
 1          20         12.668826        1          1          3          0                0                2000             1000            
 1          21         13.685405        1          1          1          0                0                2000             1000            
 1          21         13.685405        1          1          2          1.3882484        1.3882484        2000             1000            
 1          21         13.685405        1          1          3          0                0                2000             1000            
 1          22         14.752814        1          1          1          0                0                2000             1000            
 1          22         14.752814        1          1          2          1.4400486        1.4400486        2000             1000            
 1          22         14.752814        1          1          3          0                0                2000             1000            
 1          23         15.873592        1          1          1          0                0                2000             1000            
 1          23         15.873592        1          1          2          1.4923836        1.4923836        2000             1000            
 1          23         15.873592        1          1          3          0                0                2000             1000            
 1          24         17.05041         1          1          1          0                0                2000             1000            
 1          24         17.05041         1          1          2          1.5453126        1.5453126        2000             1000            
 1          24         17.05041         1          1          3          0                0                2000             1000            
 1          25         18.286069        1          1          1          0                0                2000             1000            
 1          25         18.286069        1          1          2          1.5988918        1.5988918        2000             1000            
 1          25         18.286069        1          1          3          0                0                2000             1000            
 1          26         19.58351         1          1          1          0                0                2000             1000            
 1          26         19.58351         1          1          2          1.6531745        1.6531745        2000             1000            
 1          26         19.58351         1          1          3          0                0                2000             1000            
 1          27         20.945824        1          1          1          0                0                2000             1000            
 1          27         20.945824        1          1          2          1.708212         1.708212         2000             1000            
 1          27         20.945824        1          1          3          0                0                2000             1000            
 1          28         22.376253        1          1          1          0                0                2000             1000            
 1          28         22.376253        1          1          2          1.7640538        1.7640538        2000             1000            
 1          28         22.376253        1          1          3          0                0                2000             1000            
 1          29         23.878204        1          1          1          0                0                2000             1000            
 1          29         23.878204        1          1          2          1.8207481        1.8207481        2000             1000            
 1          29         23.878204        1          1          3          0                0                2000             1000            
 1          30         25.455252        1          1          1          0                0                2000             1000            
 1          30         25.455252        1          1          2          1.8783417        1.8783417        2000             1000            
 1          30         25.455252        1          1          3          0                0                2000             1000            
 1          31         27.111152        1          1          1          0                0                2000             1000            
 1          31         27.111152        1          1          2          1.9368808        1.9368808        2000             1000            
 1          31         27.111152        1          1          3          0                0                2000             1000            
 1          32         28.849848        1          1          1          0                0                2000             1000            
 1          32         28.849848        1          1          2          1.9964107        1.9964107        2000             1000            
 1          32         28.849848        1          1          3          0                0                2000             1000            
 1          33         30.675479        1          1          1          0                0                2000             1000            
 1          33         30.675479        1          1          2          2.0569764        2.0569764        2000             1000            
 1          33         30.675479        1          1          3          0                0                2000             1000            
 1          34         32.592391        1          1          1          0                0                2000             1000            
 1          34         32.592391        1          1          2          2.1186223        2.1186223        2000             1000            
 1          34         32.592391        1          1          3          0                0                2000             1000            
 1          35         34.605148        1          1          1          0                0                2000             1000            
 1          35         34.605148        1          1          2          2.1813928        2.1813928        2000             1000            
 1          35         34.605148        1          1          3          0                0                2000             1000            
 1          36         36.718544        1          1          1          0                0                2000             1000            
 1          36         36.718544        1          1          2          2.2453322        2.2453322        2000             1000            
 1          36         36.718544        1          1          3          0                0                2000             1000            
 1          37         38.937609        1          1          1          0                0                2000             1000            
 1          37         38.937609        1          1          2          2.3104848        2.3104848        2000             1000            
 1          37         38.937609        1          1          3          0                0                2000             1000            
 1          38         41.267627        1          1          1          0                0                2000             1000            
 1          38         41.267627        1          1          2          2.3768949        2.3768949        2000             1000            
 1          38         41.267627        1          1          3          0                0                2000             1000            
 1          39         43.714147        1          1          1          0                0                2000             1000            
 1          39         43.714147        1          1          2          2.4446072        2.4446072        2000             1000            
 1          39         43.714147        1          1          3          0                0                2000             1000            
 1          40         46.282992        1          1          1          0                0                2000             1000            
 1          40         46.282992        1          1          2          2.5136666        2.5136666        2000             1000            
 1          40         46.282992        1          1          3          0                0                2000             1000            
 1          41         48.98028         1          1          1          0                0                2000             1000            
 1          41         48.98028         1          1          2          2.5841185        2.5841185        2000             1000            
 1          41         48.98028         1          1          3          0                0                2000             1000            
 1          42         51.812432        1          1          1          0                0                2000             1000            
 1          42         51.812432        1          1          2          2.6560085        2.6560085        2000             1000            
 1          42         51.812432        1          1          3          0                0                2000             1000            
 1          43         54.786192        1          1          1          0                0                2000             1000            
 1          43         54.786192        1          1          2          2.7293831        2.7293831        2000             1000            
 1          43         54.786192        1          1          3          0                0                2000             1000            
 1          44         57.908639        1          1          1          0                0                2000             1000            
 1          44         57.908639        1          1          2          2.8042889        2.8042889        2000             1000            
