 IPER  ISTEP  TLEN  IDB  ILYR  IROW  ICOL  CHEAD  COM  EST  HC  RERR
 1          1          0.38313807       1          1          1          2          66.67438         0.2050376        433.32562        490              2.6914887e-07   
 1          2          0.78543304       1          1          1          2          39.041836        0.31604897       460.95816        490              7.5364604e-07   
 1          3          1.2078428        1          1          1          2          23.398133        0.40295313       476.60187        490              3.255145e-06    
 1          4          1.651373         1          1          1          2          15.705554        0.47772489       484.29445        490              4.0288242e-06   
 1          5          2.1170797        1          1          1          2          12.240471        0.54508374       487.75953        490              3.8353862e-06   
 1          6          2.6060717        1          1          1          2          10.802812        0.60747945       489.19719        490              3.4725078e-06   
 1          7          3.1195134        1          1          1          2          10.258303        0.66637318       489.7417         490              3.1656251e-06   
 1          8          3.6586271        1          1          1          2          10.073007        0.72271729       489.92699        490              2.9188283e-06   
 1          9          4.2246966        1          1          1          2          10.017596        0.77717295       489.9824         490              2.714863e-06    
 1          10         4.8190695        1          1          1          2          10.003469        0.83022162       489.99653        490              2.5414101e-06   
 1          11         5.443161         1          1          1          2          10.000526        0.88222744       489.99947        490              2.3915996e-06   
 1          12         6.0984571        1          1          1          2          10.000055        0.93347452       489.99994        490              2.2603024e-06   
 1          13         6.7865181        1          1          1          2          10.000003        0.98419044       490              490              2.1503357e-06   
 1          14         7.508982         1          1          1          2          10               1.0345617        490              490              2.0514269e-06   
 1          15         8.2675692        1          1          1          2          10               1.0847442        490              490              1.9599396e-06   
 1          16         9.0640857        1          1          1          2          10               1.1348707        490              490              1.8763429e-06   
 1          17         9.9004281        1          1          1          2          10               1.1850561        490              490              1.7995e-06      
 1          18         10.778588        1          1          1          2          10               1.2354011        490              490              1.7284982e-06   
 1          19         11.700655        1          1          1          2          9.9999999        1.2859954        490              490              1.6625915e-06   
 1          20         12.668826        1          1          1          2          9.9999997        1.33692          490              490              1.6011644e-06   
 1          21         13.685405        1          1          1          2          9.9999992        1.3882484        490              490              1.5437034e-06   
 1          22         14.752814        1          1          1          2          9.999998         1.4400486        490              490              1.4897779e-06   
 1          23         15.873592        1          1          1          2          9.9999955        1.4923836        490              490              1.4390195e-06   
 1          24         17.05041         1          1          1          2          9.9999901        1.5453126        490.00001        490.00001        1.3911144e-06   
 1          25         18.286069        1          1          1          2          9.9999793        1.5988918        490.00002        490.00002        1.3457956e-06   
 1          26         19.58351         1          1          1          2          9.999959         1.6531745        490.00004        490.00004        1.3028272e-06   
 1          27         20.945824        1          1          1          2          9.9999218        1.708212         490.00008        490.00008        1.2620059e-06   
 1          28         22.376253        1          1          1          2          9.9998567        1.7640538        490.00014        490.00014        1.2231534e-06   
 1          29         23.878204        1          1          1          2          9.9997466        1.8207481        490.00025        490.00025        1.1861109e-06   
 1          30         25.455252        1          1          1          2          9.9995663        1.8783417        490.00043        490.00043        1.1507425e-06   
 1          31         27.111152        1          1          1          2          9.9992799        1.9368808        490.00072        490.00072        1.1169207e-06   
 1          32         28.849848        1          1          1          2          9.9988377        1.9964107        490.00116        490.00116        1.0845377e-06   
 1          33         30.675479        1          1          1          2          9.9981729        2.0569764        490.00183        490.00183        1.0534942e-06   
 1          34         32.592391        1          1          1          2          9.9971978        2.1186223        490.0028         490.0028         1.0236996e-06   
 1          35         34.605148        1          1          1          2          9.9958002        2.1813928        490.0042         490.0042         9.9507627e-07   
 1          36         36.718544        1          1          1          2          9.9938401        2.2453322        490.00616        490.00616        9.6754782e-07   
