 IPER  ISTEP           DLEN           ILYR    IROW   ICOL                     STA                     FBC                     CST                     IBE                     IBV                     WST                     CNH                     ABER
 1          1          0.38313807       1          1          1          -0.00000000e+00  3.17112864e-04   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -3.17112864e-04  0.00000000e+00  
 1          1          0.38313807       1          1          2          -0.00000000e+00  -6.34225727e-04  0.00000000e+00   6.34225727e-04   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          1          0.38313807       1          1          3          -0.00000000e+00  3.17112864e-04   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -3.17112864e-04  0.00000000e+00  
 1          2          0.40229497       1          1          1          -0.00000000e+00  2.00654983e-04   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -2.00654983e-04  0.00000000e+00  
 1          2          0.40229497       1          1          2          -0.00000000e+00  -4.01309965e-04  0.00000000e+00   3.31078475e-04   7.02314905e-05   0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          2          0.40229497       1          1          3          -0.00000000e+00  2.00654983e-04   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -2.00654983e-04  0.00000000e+00  
 1          3          0.42240972       1          1          1          -0.00000000e+00  2.08886368e-04   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -2.08886368e-04  0.00000000e+00  
 1          3          0.42240972       1          1          2          -0.00000000e+00  -4.17772736e-04  0.00000000e+00   2.44101791e-04   1.73670946e-04   0.00000000e+00   0.00000000e+00   -9.15955076e-20 
 1          3          0.42240972       1          1          3          -0.00000000e+00  2.08886368e-04   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -2.08886368e-04  0.00000000e+00  
 1          4          0.44353021       1          1          1          -0.00000000e+00  2.16898471e-04   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -2.16898471e-04  0.00000000e+00  
