 IPER  ISTEP  TLEN  STAIN  CSTIN  IBEIN  IBVIN  WSTIN  CNHIN  STAOUT  CSTOUT  IBEOUT  IBVOUT  WSTOUT  CNHOUT  ABER  RBER
 1          1          0.38313807       0                0                0.00063422573    0                0                0                0                0                0                0                0                0.00063422573    0                0               
 1          2          0.78543304       0                0                0.0009653042     7.0231491e-05    0                0                0                0                0                0                0                0.0010355357     5.4210109e-20    0               
 1          3          1.2078428        0                0                0.001209406      0.00024390244    0                0                0                0                0                0                0                0.0014533084     0                0               
 1          4          1.651373         0                0                0.0014199272     0.00046717818    0                0                0                0                0                0                0                0.0018871054     -5.4210109e-20   0               
 1          5          2.1170797        0                0                0.0016111395     0.00072554085    0                0                0                0                0                0                0                0.0023366803     -5.4210109e-20   0               
 1          6          2.6060717        0                0                0.0017899658     0.0010118865     0                0                0                0                0                0                0                0.0028018523     -5.4210109e-20   0               
 1          7          3.1195134        0                0                0.0019603872     0.001322066      0                0                0                0                0                0                0                0.0032824532     -5.4210109e-20   0               
 1          8          3.6586271        0                0                0.0021249496     0.0016533512     0                0                0                0                0                0                0                0.0037783008     -5.4210109e-20   0               
 1          9          4.2246966        0                0                0.0022854052     0.0020037766     0                0                0                0                0                0                0                0.0042891818     -5.4210109e-20   0               
 1          10         4.8190695        0                0                0.0024430286     0.0023718124     0                0                0                0                0                0                0                0.004814841      -5.4210109e-20   0               
 1          11         5.443161         0                0                0.0025987874     0.0027561855     0                0                0                0                0                0                0                0.0053549729     -5.4210109e-20   0               
 1          12         6.0984571        0                0                0.0027534423     0.0031557722     0                0                0                0                0                0                0                0.0059092145     -5.4210109e-20   0               
 1          13         6.7865181        0                0                0.0029076093     0.003569531      0                0                0                0                0                0                0                0.0064771403     -5.4210109e-20   0               
 1          14         7.508982         0                0                0.0030617999     0.0039964581     0                0                0                0                0                0                0                0.0070582579     -5.4210109e-20   0               
 1          15         8.2675692        0                0                0.0032164475     0.0044355568     0                0                0                0                0                0                0                0.0076520044     5.4210109e-20    5.667546e-15    
 1          16         9.0640857        0                0                0.0033719272     0.0048858161     0                0                0                0                0                0                0                0.0082577433     5.4210109e-20    0               
 1          17         9.9004281        0                0                0.003528568      0.0053461953     0                0                0                0                0                0                0                0.0088747633     5.4210109e-20    0               
 1          18         10.778588        0                0                0.0036866634     0.0058156133     0                0                0                0                0                0                0                0.0095022767     5.4210109e-20    0               
 1          19         11.700655        0                0                0.0038464781     0.0062929416     0                0                0                0                0                0                0                0.01013942       5.4210109e-20    0               
 1          20         12.668826        0                0                0.0040082536     0.0067769997     0                0                0                0                0                0                0                0.010785253      5.4210109e-20    0               
 1          21         13.685405        0                0                0.0041682822     0.0072713046     0                0                0                0                0                0                0                0.011439587      5.4210109e-20    0               
 1          22         14.752814        0                0                0.0043288978     0.0077733707     0                0                0                0                0                0                0                0.012102268      1.6263033e-19    0               
