 IPER  ISTEP  TLEN  IDB  ILYR  IROW  ICOL  CHEAD  COM  EST  HC  RERR
 1          1          0.38313807       1          1          1          2          100              0.00063422573    400              490              3.787049e-09    
 1          2          0.78543304       1          1          1          2          100              0.0010355357     400              490              2.0236766e-09   
 1          3          1.2078428        1          1          1          2          100              0.0014533084     400              490              1.1787469e-09   
 1          4          1.651373         1          1          1          2          100              0.0018871054     400              490              5.3089043e-09   
 1          5          2.1170797        1          1          1          2          100              0.0023366803     400              490              6.6636934e-09   
 1          6          2.6060717        1          1          1          2          100              0.0028018523     400              490              6.6277963e-09   
 1          7          3.1195134        1          1          1          2          100              0.0032824532     400              490              6.1976026e-09   
 1          8          3.6586271        1          1          1          2          100              0.0037783008     400              490              5.6844057e-09   
 1          9          4.2246966        1          1          1          2          100              0.0042891818     400              490              5.1824437e-09   
 1          10         4.8190695        1          1          1          2          100              0.004814841      400              490              4.7319072e-09   
 1          11         5.443161         1          1          1          2          100              0.0053549729     400              490              4.3177988e-09   
 1          12         6.0984571        1          1          1          2          100              0.0059092145     400              490              3.9504258e-09   
 1          13         6.7865181        1          1          1          2          100              0.0064771403     400              490              3.6287931e-09   
 1          14         7.508982         1          1          1          2          100              0.0070582579     400              490              3.3458749e-09   
 1          15         8.2675692        1          1          1          2          100              0.0076520044     400              490              5.4566453e-09   
 1          16         9.0640857        1          1          1          2          100              0.0082577433     400              490              6.5922907e-09   
 1          17         9.9004281        1          1          1          2          100              0.0088747633     400              490              7.0868227e-09   
 1          18         10.778588        1          1          1          2          100              0.0095022767     400              490              7.1581457e-09   
 1          19         11.700655        1          1          1          2          100              0.01013942       400              490              6.9421824e-09   
 1          20         12.668826        1          1          1          2          100              0.010785253      400              490              1.2955876e-08   
 1          21         13.685405        1          1          1          2          100              0.011439587      400              490              1.3642144e-08   
 1          22         14.752814        1          1          1          2          100              0.012102268      400              490              1.399926e-08    
 1          23         15.873592        1          1          1          2          100              0.012773186      400              490              1.4149558e-08   
 1          24         17.05041         1          1          1          2          100              0.013452271      400              490              1.415621e-08    
 1          25         18.286069        1          1          1          2          100              0.014139501      400              490              1.4067331e-08   
 1          26         19.58351         1          1          1          2          100              0.014834908      400              490              1.3909195e-08   
 1          27         20.945824        1          1          1          2          100              0.015538571      400              490              1.3699843e-08   
 1          28         22.376253        1          1          1          2          100              0.016250623      400              490              1.345638e-08    
 1          29         23.878204        1          1          1          2          100              0.016971249      400              490              1.3186577e-08   
 1          30         25.455252        1          1          1          2          100              0.017700678      400              490              1.2898694e-08   
 1          31         27.111152        1          1          1          2          100              0.018439183      400              490              1.2597191e-08   
 1          32         28.849848        1          1          1          2          100              0.01918707       400              490              1.2286728e-08   
 1          33         30.675479        1          1          1          2          100              0.019944673      400              490              1.196904e-08    
 1          34         32.592391        1          1          1          2          100              0.020712338      400              490              1.1643379e-08   
 1          35         34.605148        1          1          1          2          100              0.021490419      400              490              1.1312203e-08   
 1          36         36.718544        1          1          1          2          100              0.022279254      400              490              1.0976784e-08   
 1          37         38.937609        1          1          1          2          100              0.023079159      400              490              1.0634934e-08   
 1          38         41.267627        1          1          1          2          100              0.023890408      400              490              1.0288354e-08   
 1          39         43.714147        1          1          1          2          100              0.02471328       400              490              1.0117971e-08   
 1          40         46.282992        1          1          1          2          100              0.025548149      400              490              9.9324086e-09   
 1          41         48.98028         1          1          1          2          100              0.026395479      400              490              9.7417135e-09   
 1          42         51.812432        1          1          1          2          100              0.027255822      400              490              9.5457196e-09   
 1          43         54.786192        1          1          1          2          100              0.02812981       400              490              9.3480521e-09   
 1          44         57.908639        1          1          1          2          100              0.029018146      400              490              9.1494036e-09   
 1          45         61.187209        1          1          1          2          100              0.029921593      400              490              8.9520822e-09   
 1          46         64.629708        1          1          1          2          100              0.030840953      400              490              8.7522364e-09   
 1          47         68.244331        1          1          1          2          100              0.031777054      400              490              8.5518659e-09   
 1          48         72.039686        1          1          1          2          100              0.032730731      400              490              8.3487573e-09   
 1          49         76.024808        1          1          1          2          100              0.0337028        400              490              8.1449156e-09   
 1          50         80.209187        1          1          1          2          100              0.034694038      400              490              7.9379388e-09   
