 IPER  ISTEP           TLEN           ILYR    IROW   ICOL            XCORD               YCORD                HEAD
 1          1          0.38313807       1          1          1          0.50000000       -0.50000000      0.00000000          
 1          1          0.38313807       1          1          2          1.50000000       -0.50000000      0.00000000          
 1          1          0.38313807       1          1          3          2.50000000       -0.50000000      0.00000000          
 1          2          0.78543304       1          1          1          0.50000000       -0.50000000      0.00000000          
 1          2          0.78543304       1          1          2          1.50000000       -0.50000000      0.00000000          
 1          2          0.78543304       1          1          3          2.50000000       -0.50000000      0.00000000          
 1          3          1.20784276       1          1          1          0.50000000       -0.50000000      0.00000000          
 1          3          1.20784276       1          1          2          1.50000000       -0.50000000      0.00000000          
 1          3          1.20784276       1          1          3          2.50000000       -0.50000000      0.00000000          
 1          4          1.65137297       1          1          1          0.50000000       -0.50000000      0.00000000          
 1          4          1.65137297       1          1          2          1.50000000       -0.50000000      0.00000000          
 1          4          1.65137297       1          1          3          2.50000000       -0.50000000      0.00000000          
 1          5          2.11707969       1          1          1          0.50000000       -0.50000000      0.00000000          
 1          5          2.11707969       1          1          2          1.50000000       -0.50000000      0.00000000          
 1          5          2.11707969       1          1          3          2.50000000       -0.50000000      0.00000000          
 1          6          2.60607174       1          1          1          0.50000000       -0.50000000      0.00000000          
 1          6          2.60607174       1          1          2          1.50000000       -0.50000000      0.00000000          
 1          6          2.60607174       1          1          3          2.50000000       -0.50000000      0.00000000          
 1          7          3.11951340       1          1          1          0.50000000       -0.50000000      0.00000000          
 1          7          3.11951340       1          1          2          1.50000000       -0.50000000      0.00000000          
 1          7          3.11951340       1          1          3          2.50000000       -0.50000000      0.00000000          
 1          8          3.65862714       1          1          1          0.50000000       -0.50000000      0.00000000          
 1          8          3.65862714       1          1          2          1.50000000       -0.50000000      0.00000000          
 1          8          3.65862714       1          1          3          2.50000000       -0.50000000      0.00000000          
 1          9          4.22469657       1          1          1          0.50000000       -0.50000000      0.00000000          
 1          9          4.22469657       1          1          2          1.50000000       -0.50000000      0.00000000          
 1          9          4.22469657       1          1          3          2.50000000       -0.50000000      0.00000000          
 1          10         4.81906946       1          1          1          0.50000000       -0.50000000      0.00000000          
 1          10         4.81906946       1          1          2          1.50000000       -0.50000000      0.00000000          
 1          10         4.81906946       1          1          3          2.50000000       -0.50000000      0.00000000          
 1          11         5.44316101       1          1          1          0.50000000       -0.50000000      0.00000000          
 1          11         5.44316101       1          1          2          1.50000000       -0.50000000      0.00000000          
 1          11         5.44316101       1          1          3          2.50000000       -0.50000000      0.00000000          
 1          12         6.09845713       1          1          1          0.50000000       -0.50000000      0.00000000          
 1          12         6.09845713       1          1          2          1.50000000       -0.50000000      0.00000000          
 1          12         6.09845713       1          1          3          2.50000000       -0.50000000      0.00000000          
 1          13         6.78651805       1          1          1          0.50000000       -0.50000000      0.00000000          
 1          13         6.78651805       1          1          2          1.50000000       -0.50000000      0.00000000          
 1          13         6.78651805       1          1          3          2.50000000       -0.50000000      0.00000000          
 1          14         7.50898203       1          1          1          0.50000000       -0.50000000      0.00000000          
 1          14         7.50898203       1          1          2          1.50000000       -0.50000000      0.00000000          
 1          14         7.50898203       1          1          3          2.50000000       -0.50000000      0.00000000          
 1          15         8.26756920       1          1          1          0.50000000       -0.50000000      0.00000000          
 1          15         8.26756920       1          1          2          1.50000000       -0.50000000      0.00000000          
