 IPER  ISTEP  TLEN  ILYR  IROW  ICOL  DISP  COM  TOTGL  EST
 1          1          0.38313807       1          1          1          0                0                2000             1000            
 1          1          0.38313807       1          1          2          0.041461903      0.041461903      2000             1000            
 1          1          0.38313807       1          1          3          0                0                2000             1000            
 1          2          0.78543304       1          1          1          0                0                2000             1000            
 1          2          0.78543304       1          1          2          0.06409614       0.06409614       2000             1000            
 1          2          0.78543304       1          1          3          0                0                2000             1000            
 1          3          1.2078428        1          1          1          0                0                2000             1000            
 1          3          1.2078428        1          1          2          0.082009788      0.082009788      2000             1000            
 1          3          1.2078428        1          1          3          0                0                2000             1000            
 1          4          1.651373         1          1          1          0                0                2000             1000            
 1          4          1.651373         1          1          2          0.097575236      0.097575236      2000             1000            
 1          4          1.651373         1          1          3          0                0                2000             1000            
 1          5          2.1170797        1          1          1          0                0                2000             1000            
 1          5          2.1170797        1          1          2          0.11172252       0.11172252       2000             1000            
 1          5          2.1170797        1          1          3          0                0                2000             1000            
 1          6          2.6060717        1          1          1          0                0                2000             1000            
 1          6          2.6060717        1          1          2          0.12493003       0.12493003       2000             1000            
 1          6          2.6060717        1          1          3          0                0                2000             1000            
 1          7          3.1195134        1          1          1          0                0                2000             1000            
 1          7          3.1195134        1          1          2          0.13748105       0.13748105       2000             1000            
 1          7          3.1195134        1          1          3          0                0                2000             1000            
 1          8          3.6586271        1          1          1          0                0                2000             1000            
 1          8          3.6586271        1          1          2          0.14955936       0.14955936       2000             1000            
 1          8          3.6586271        1          1          3          0                0                2000             1000            
 1          9          4.2246966        1          1          1          0                0                2000             1000            
 1          9          4.2246966        1          1          2          0.16129226       0.16129226       2000             1000            
 1          9          4.2246966        1          1          3          0                0                2000             1000            
 1          10         4.8190695        1          1          1          0                0                2000             1000            
 1          10         4.8190695        1          1          2          0.17277238       0.17277238       2000             1000            
 1          10         4.8190695        1          1          3          0                0                2000             1000            
 1          11         5.443161         1          1          1          0                0                2000             1000            
 1          11         5.443161         1          1          2          0.18406982       0.18406982       2000             1000            
 1          11         5.443161         1          1          3          0                0                2000             1000            
 1          12         6.0984571        1          1          1          0                0                2000             1000            
 1          12         6.0984571        1          1          2          0.1952393        0.1952393        2000             1000            
