 IPER  ISTEP  TLEN  IDB  ILYR  IROW  ICOL  CHEAD  COM  EST  HC  RERR
 1          1          0.38313807       1          1          1          2          99.974866        0.041461903      400.02513        490              6.531268e-08    
 1          2          0.78543304       1          1          1          2          99.847596        0.06409614       400.1524         490              1.3745004e-07   
 1          3          1.2078428        1          1          1          2          99.497408        0.082009788      400.50259        490              1.8757653e-07   
 1          4          1.651373         1          1          1          2          98.797598        0.097575236      401.2024         490              2.4660956e-07   
 1          5          2.1170797        1          1          1          2          97.653482        0.11172252       402.34652        490              3.0558403e-07   
 1          6          2.6060717        1          1          1          2          96.020878        0.12493003       403.97912        490              3.8329552e-07   
 1          7          3.1195134        1          1          1          2          93.904516        0.13748105       406.09548        490              4.5913597e-07   
 1          8          3.6586271        1          1          1          2          91.345242        0.14955936       408.65476        490              5.51389e-07     
 1          9          4.2246966        1          1          1          2          88.404767        0.16129226       411.59523        490              6.511e-07       
 1          10         4.8190695        1          1          1          2          85.152946        0.17277238       414.84705        490              1.2316644e-06   
 1          11         5.443161         1          1          1          2          81.65916         0.18406982       418.34084        490              1.3063468e-06   
 1          12         6.0984571        1          1          1          2          77.98746         0.1952393        422.01254        490              1.4135964e-06   
 1          13         6.7865181        1          1          1          2          74.194477        0.2063247        425.80552        490              1.6964629e-06   
 1          14         7.508982         1          1          1          2          70.329082        0.21736196       429.67092        490              2.5367296e-06   
 1          15         8.2675692        1          1          1          2          66.432996        0.22838106       433.567          490              2.9780564e-06   
 1          16         9.0640857        1          1          1          2          62.541819        0.23940745       437.45818        490              4.2913136e-06   
 1          17         9.9004281        1          1          1          2          58.686136        0.25046299       441.31386        490              5.1881971e-06   
 1          18         10.778588        1          1          1          2          54.892526        0.26156673       445.10747        490              5.3580519e-06   
 1          19         11.700655        1          1          1          2          51.184371        0.27273547       448.81563        490              6.8849334e-06   
 1          20         12.668826        1          1          1          2          47.582456        0.28398411       452.41754        490              7.2395265e-06   
 1          21         13.685405        1          1          1          2          44.105352        0.29532611       455.89465        490              9.6748619e-06   
 1          22         14.752814        1          1          1          2          40.769623        0.30677366       459.23038        490              1.428139e-05    
 1          23         15.873592        1          1          1          2          37.589895        0.31833793       462.41011        490              2.0601356e-05   
 1          24         17.05041         1          1          1          2          34.578817        0.33002923       465.42118        490              2.5288091e-05   
 1          25         18.286069        1          1          1          2          31.746977        0.34185723       468.25302        490              2.9102563e-05   
 1          26         19.58351         1          1          1          2          29.102777        0.35383104       470.89722        490              3.1807098e-05   
 1          27         20.945824        1          1          1          2          26.652317        0.36595931       473.34768        490              3.290185e-05    
 1          28         22.376253        1          1          1          2          24.399305        0.37825039       475.6007         490              3.4171398e-05   
 1          29         23.878204        1          1          1          2          22.345005        0.39071236       477.65499        490              3.6336983e-05   
 1          30         25.455252        1          1          1          2          20.488242        0.40335306       479.51176        490              3.6861939e-05   
 1          31         27.111152        1          1          1          2          18.825458        0.41618026       481.17454        490              3.7395624e-05   
 1          32         28.849848        1          1          1          2          17.350844        0.42920164       482.64916        490              3.7858927e-05   
 1          33         30.675479        1          1          1          2          16.056517        0.44242485       483.94348        490              3.7921709e-05   
 1          34         32.592391        1          1          1          2          14.932765        0.45585755       485.06723        490              3.761237e-05    
 1          35         34.605148        1          1          1          2          13.968331        0.46950744       486.03167        490              3.7326791e-05   
 1          36         36.718544        1          1          1          2          13.150736        0.4833823        486.84926        490              3.690401e-05    
 1          37         38.937609        1          1          1          2          12.46663         0.49749002       487.53337        490              3.623764e-05    
 1          38         41.267627        1          1          1          2          11.902149        0.51183858       488.09785        490              3.5527002e-05   
 1          39         43.714147        1          1          1          2          11.443272        0.52643613       488.55673        490              3.4844212e-05   
 1          40         46.282992        1          1          1          2          11.076158        0.54129094       488.92384        490              3.4032659e-05   
 1          41         48.98028         1          1          1          2          10.787463        0.55641146       489.21254        490              3.3260627e-05   
 1          42         51.812432        1          1          1          2          10.564601        0.57180631       489.4354         490              3.2448275e-05   
 1          43         54.786192        1          1          1          2          10.395969        0.58748429       489.60403        490              3.164836e-05    
 1          44         57.908639        1          1          1          2          10.271112        0.6034544        489.72889        490              3.0858425e-05   
 1          45         61.187209        1          1          1          2          10.180821        0.61972583       489.81918        490              3.0066397e-05   
 1          46         64.629708        1          1          1          2          10.117189        0.63630797       489.88281        490              2.9297517e-05   
 1          47         68.244331        1          1          1          2          10.073591        0.65321042       489.92641        490              2.8549214e-05   
 1          48         72.039686        1          1          1          2          10.044633        0.670443         489.95537        490              2.7822108e-05   
 1          49         76.024808        1          1          1          2          10.026046        0.68801575       489.97395        490              2.7115218e-05   
 1          50         80.209187        1          1          1          2          10.014561        0.70593893       489.98544        490              2.6428111e-05   
 1          51         84.602784        1          1          1          2          10.007758        0.72422303       489.99224        490              2.5761609e-05   
 1          52         89.216062        1          1          1          2          10.003916        0.74287877       489.99608        490              2.5115054e-05   
 1          53         94.060003        1          1          1          2          10.001859        0.76191712       489.99814        490              2.4487525e-05   
 1          54         99.146141        1          1          1          2          10.000823        0.78134929       489.99918        490              2.3878348e-05   
 1          55         104.48659        1          1          1          2          10.000336        0.80118672       489.99966        490              2.3287247e-05   
 1          56         110.09405        1          1          1          2          10.000125        0.82144113       489.99988        490              2.272166e-05    
 1          57         115.98189        1          1          1          2          10.000041        0.84212449       489.99996        490              2.2166184e-05   
 1          58         122.16413        1          1          1          2          10.000012        0.86324903       489.99999        490              2.1624576e-05   
 1          59         128.65547        1          1          1          2          10.000003        0.88482726       490              490              2.1104202e-05   
 1          60         135.47138        1          1          1          2          10.000001        0.90687196       490              490              2.0592908e-05   
 1          61         142.62809        1          1          1          2          10               0.92939621       490              490              2.0096212e-05   
 1          62         150.14263        1          1          1          2          10               0.95241336       490              490              1.9611352e-05   
 1          63         158.0329         1          1          1          2          10               0.97593709       490              490              1.9140364e-05   
 1          64         166.31769        1          1          1          2          10               0.99998134       490              490              1.8680998e-05   
 1          65         175.01671        1          1          1          2          10               1.0245604        490              490              1.8233599e-05   
 1          66         184.15068        1          1          1          2          10               1.0496889        490              490              1.7797844e-05   
 1          67         193.74135        1          1          1          2          10               1.0753817        490              490              1.7372871e-05   
 1          68         203.81156        1          1          1          2          10               1.1016542        490              490              1.6959091e-05   
 1          69         214.38528        1          1          1          2          10               1.1285219        490              490              1.6555738e-05   
 1          70         225.48768        1          1          1          2          10               1.1560007        490              490              1.6162599e-05   
