 IPER  ISTEP           DLEN           ILYR    IROW   ICOL                     STA                     FBC                     CST                     IBE                     IBV                     WST                     CNH                     ABER
 1          1          0.38313807       1          1          1          -0.00000000e+00  2.06516061e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -2.06516061e-02  0.00000000e+00  
 1          1          0.38313807       1          1          2          -0.00000000e+00  -4.13032122e-02  0.00000000e+00   1.23067760e-02   2.89964361e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          1          0.38313807       1          1          3          -0.00000000e+00  2.06516061e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -2.06516061e-02  0.00000000e+00  
 1          2          0.40229497       1          1          1          -0.00000000e+00  1.12735080e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -1.12735080e-02  0.00000000e+00  
 1          2          0.40229497       1          1          2          -0.00000000e+00  -2.25470160e-02  0.00000000e+00   6.33311003e-03   1.62139060e-02   0.00000000e+00   0.00000000e+00   2.79148214e-18  
 1          2          0.40229497       1          1          3          -0.00000000e+00  1.12735080e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -1.12735080e-02  0.00000000e+00  
 1          3          0.42240972       1          1          1          -0.00000000e+00  8.92233952e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -8.92233952e-03  0.00000000e+00  
 1          3          0.42240972       1          1          2          -0.00000000e+00  -1.78446790e-02  0.00000000e+00   4.95873485e-03   1.28859442e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          3          0.42240972       1          1          3          -0.00000000e+00  8.92233952e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -8.92233952e-03  0.00000000e+00  
 1          4          0.44353021       1          1          1          -0.00000000e+00  7.75283246e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -7.75283246e-03  0.00000000e+00  
 1          4          0.44353021       1          1          2          -0.00000000e+00  -1.55056649e-02  0.00000000e+00   4.30041863e-03   1.12052463e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          4          0.44353021       1          1          3          -0.00000000e+00  7.75283246e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -7.75283246e-03  0.00000000e+00  
 1          5          0.46570672       1          1          1          -0.00000000e+00  7.04654817e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -7.04654817e-03  0.00000000e+00  
 1          5          0.46570672       1          1          2          -0.00000000e+00  -1.40930963e-02  0.00000000e+00   3.91013393e-03   1.01829624e-02   0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          5          0.46570672       1          1          3          -0.00000000e+00  7.04654817e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -7.04654817e-03  0.00000000e+00  
 1          6          0.48899205       1          1          1          -0.00000000e+00  6.57853534e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -6.57853534e-03  0.00000000e+00  
 1          6          0.48899205       1          1          2          -0.00000000e+00  -1.31570707e-02  0.00000000e+00   3.65324296e-03   9.50382772e-03   0.00000000e+00   0.00000000e+00   1.69653199e-18  
 1          6          0.48899205       1          1          3          -0.00000000e+00  6.57853534e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -6.57853534e-03  0.00000000e+00  
 1          7          0.51344166       1          1          1          -0.00000000e+00  6.25161450e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -6.25161450e-03  0.00000000e+00  
 1          7          0.51344166       1          1          2          -0.00000000e+00  -1.25032290e-02  0.00000000e+00   3.47326393e-03   9.02996506e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          7          0.51344166       1          1          3          -0.00000000e+00  6.25161450e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -6.25161450e-03  0.00000000e+00  
 1          8          0.53911374       1          1          1          -0.00000000e+00  6.01622836e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -6.01622836e-03  0.00000000e+00  
 1          8          0.53911374       1          1          2          -0.00000000e+00  -1.20324567e-02  0.00000000e+00   3.34142250e-03   8.69103422e-03   0.00000000e+00   0.00000000e+00   1.87042652e-18  
 1          8          0.53911374       1          1          3          -0.00000000e+00  6.01622836e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -6.01622836e-03  0.00000000e+00  
 1          9          0.56606943       1          1          1          -0.00000000e+00  5.84423903e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -5.84423903e-03  0.00000000e+00  
 1          9          0.56606943       1          1          2          -0.00000000e+00  -1.16884781e-02  0.00000000e+00   3.24089249e-03   8.44758557e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00  
 1          9          0.56606943       1          1          3          -0.00000000e+00  5.84423903e-03   0.00000000e+00   0.00000000e+00   0.00000000e+00   0.00000000e+00   -5.84423903e-03  0.00000000e+00  
