 IPER  ISTEP  TLEN  ILYR  STAIN  TOPIN  BOTIN  CSTIN  IBEIN  IBVIN  WSTIN  CNHIN  STAOUT  TOPOUT  BOTOUT  CSTOUT  IBEOUT  IBVOUT  WSTOUT  CNHOUT  ABER
 1          1          0.38313807       1          0                0                0                0                0.012306776      0.028996436      0                0                0                0                0                0                0                0                0                0.041303212      0               
 1          2          0.78543304       1          0                0                0                0                0.018639886      0.045210342      0                0                0                0                0                0                0                0                0                0.063850228      3.469447e-18    
 1          3          1.2078428        1          0                0                0                0                0.023598621      0.058096286      0                0                0                0                0                0                0                0                0                0.081694907      3.469447e-18    
 1          4          1.651373         1          0                0                0                0                0.02789904       0.069301533      0                0                0                0                0                0                0                0                0                0.097200572      3.469447e-18    
 1          5          2.1170797        1          0                0                0                0                0.031809173      0.079484495      0                0                0                0                0                0                0                0                0                0.11129367       3.469447e-18    
 1          6          2.6060717        1          0                0                0                0                0.035462416      0.088988323      0                0                0                0                0                0                0                0                0                0.12445074       5.2041704e-18   
 1          7          3.1195134        1          0                0                0                0                0.03893568       0.098018288      0                0                0                0                0                0                0                0                0                0.13695397       5.2041704e-18   
 1          8          3.6586271        1          0                0                0                0                0.042277103      0.10670932       0                0                0                0                0                0                0                0                0                0.14898642       8.6736174e-18   
 1          9          4.2246966        1          0                0                0                0                0.045517995      0.11515691       0                0                0                0                0                0                0                0                0                0.1606749        6.9388939e-18   
 1          10         4.8190695        1          0                0                0                0                0.048678721      0.12343296       0                0                0                0                0                0                0                0                0                0.17211168       8.6736174e-18   
 1          11         5.443161         1          0                0                0                0                0.051771913      0.13159465       0                0                0                0                0                0                0                0                0                0.18336657       6.9388939e-18   
 1          12         6.0984571        1          0                0                0                0                0.054804432      0.13968966       0                0                0                0                0                0                0                0                0                0.19449409       8.6736174e-18   
 1          13         6.7865181        1          0                0                0                0                0.057778697      0.14775925       0                0                0                0                0                0                0                0                0                0.20553795       8.6736174e-18   
 1          14         7.508982         1          0                0                0                0                0.060693682      0.15584024       0                0                0                0                0                0                0                0                0                0.21653392       1.2143064e-17   
 1          15         8.2675692        1          0                0                0                0                0.063545724      0.16396617       0                0                0                0                0                0                0                0                0                0.22751189       1.2143064e-17   
