 IPER  ISTEP  TLEN  ILYR  IROW  ICOL  COM  THETA  THIK  SKE
 1          1          0.38313807       1          1          2          0                0.2              900              0               
 1          2          0.78543304       1          1          2          0                0.2              900              0               
 1          3          1.2078428        1          1          2          0                0.2              900              0               
 1          4          1.651373         1          1          2          0                0.2              900              0               
 1          5          2.1170797        1          1          2          0                0.2              900              0               
 1          6          2.6060717        1          1          2          0                0.2              900              0               
 1          7          3.1195134        1          1          2          0                0.2              900              0               
 1          8          3.6586271        1          1          2          0                0.2              900              0               
 1          9          4.2246966        1          1          2          0                0.2              900              0               
 1          10         4.8190695        1          1          2          0                0.2              900              0               
 1          11         5.443161         1          1          2          0                0.2              900              0               
 1          12         6.0984571        1          1          2          0                0.2              900              0               
 1          13         6.7865181        1          1          2          0                0.2              900              0               
 1          14         7.508982         1          1          2          0                0.2              900              0               
 1          15         8.2675692        1          1          2          0                0.2              900              0               
 1          16         9.0640857        1          1          2          0                0.2              900              0               
 1          17         9.9004281        1          1          2          0                0.2              900              0               
 1          18         10.778588        1          1          2          0                0.2              900              0               
 1          19         11.700655        1          1          2          0                0.2              900              0               
 1          20         12.668826        1          1          2          0                0.2              900              0               
 1          21         13.685405        1          1          2          0                0.2              900              0               
 1          22         14.752814        1          1          2          0                0.2              900              0               
 1          23         15.873592        1          1          2          0                0.2              900              0               
 1          24         17.05041         1          1          2          0                0.2              900              0               
 1          25         18.286069        1          1          2          0                0.2              900              0               
 1          26         19.58351         1          1          2          0                0.2              900              0               
 1          27         20.945824        1          1          2          0                0.2              900              0               
 1          28         22.376253        1          1          2          0                0.2              900              0               
 1          29         23.878204        1          1          2          0                0.2              900              0               
 1          30         25.455252        1          1          2          0                0.2              900              0               
 1          31         27.111152        1          1          2          0                0.2              900              0               
 1          32         28.849848        1          1          2          0                0.2              900              0               
 1          33         30.675479        1          1          2          0                0.2              900              0               
 1          34         32.592391        1          1          2          0                0.2              900              0               
 1          35         34.605148        1          1          2          0                0.2              900              0               
 1          36         36.718544        1          1          2          0                0.2              900              0               
 1          37         38.937609        1          1          2          0                0.2              900              0               
 1          38         41.267627        1          1          2          0                0.2              900              0               
 1          39         43.714147        1          1          2          0                0.2              900              0               
 1          40         46.282992        1          1          2          0                0.2              900              0               
 1          41         48.98028         1          1          2          0                0.2              900              0               
 1          42         51.812432        1          1          2          0                0.2              900              0               
 1          43         54.786192        1          1          2          0                0.2              900              0               
 1          44         57.908639        1          1          2          0                0.2              900              0               
 1          45         61.187209        1          1          2          0                0.2              900              0               
 1          46         64.629708        1          1          2          0                0.2              900              0               
 1          47         68.244331        1          1          2          0                0.2              900              0               
 1          48         72.039686        1          1          2          0                0.2              900              0               
 1          49         76.024808        1          1          2          0                0.2              900              0               
 1          50         80.209187        1          1          2          0                0.2              900              0               
 1          51         84.602784        1          1          2          0                0.2              900              0               
 1          52         89.216062        1          1          2          0                0.2              900              0               
 1          53         94.060003        1          1          2          0                0.2              900              0               
 1          54         99.146141        1          1          2          0                0.2              900              0               
 1          55         104.48659        1          1          2          0                0.2              900              0               
 1          56         110.09405        1          1          2          0                0.2              900              0               
 1          57         115.98189        1          1          2          0                0.2              900              0               
 1          58         122.16413        1          1          2          0                0.2              900              0               
 1          59         128.65547        1          1          2          0                0.2              900              0               
 1          60         135.47138        1          1          2          0                0.2              900              0               
 1          61         142.62809        1          1          2          0                0.2              900              0               
 1          62         150.14263        1          1          2          0                0.2              900              0               
 1          63         158.0329         1          1          2          0                0.2              900              0               
 1          64         166.31769        1          1          2          0                0.2              900              0               
 1          65         175.01671        1          1          2          0                0.2              900              0               
 1          66         184.15068        1          1          2          0                0.2              900              0               
 1          67         193.74135        1          1          2          0                0.2              900              0               
 1          68         203.81156        1          1          2          0                0.2              900              0               
 1          69         214.38528        1          1          2          0                0.2              900              0               
 1          70         225.48768        1          1          2          0                0.2              900              0               
 1          71         237.1452         1          1          2          0                0.2              900              0               
 1          72         249.3856         1          1          2          0                0.2              900              0               
 1          73         262.23802        1          1          2          0                0.2              900              0               
 1          74         275.73305        1          1          2          0                0.2              900              0               
 1          75         289.90284        1          1          2          0                0.2              900              0               
 1          76         304.78113        1          1          2          0                0.2              900              0               
 1          77         320.40332        1          1          2          0                0.2              900              0               
 1          78         336.80662        1          1          2          0                0.2              900              0               
 1          79         354.03009        1          1          2          0                0.2              900              0               
 1          80         372.11474        1          1          2          0                0.2              900              0               
 1          81         391.10361        1          1          2          0                0.2              900              0               
 1          82         411.04193        1          1          2          0                0.2              900              0               
 1          83         431.97716        1          1          2          0                0.2              900              0               
 1          84         453.95916        1          1          2          0                0.2              900              0               
 1          85         477.04026        1          1          2          0                0.2              900              0               
 1          86         501.27541        1          1          2          0                0.2              900              0               
 1          87         526.72232        1          1          2          0                0.2              900              0               
 1          88         553.44157        1          1          2          0                0.2              900              0               
 1          89         581.49679        1          1          2          0                0.2              900              0               
 1          90         610.95476        1          1          2          0                0.2              900              0               
 1          91         641.88564        1          1          2          0                0.2              900              0               
 1          92         674.36306        1          1          2          0                0.2              900              0               
 1          93         708.46435        1          1          2          0                0.2              900              0               
 1          94         744.27071        1          1          2          0                0.2              900              0               
 1          95         781.86738        1          1          2          0                0.2              900              0               
 1          96         821.34389        1          1          2          0                0.2              900              0               
 1          97         862.79422        1          1          2          0                0.2              900              0               
 1          98         906.31707        1          1          2          0                0.2              900              0               
 1          99         952.01606        1          1          2          0                0.2              900              0               
 1          100        1000             1          1          2          0                0.2              900              0               
