 IPER  ISTEP  TLEN  IDB  ILYR  IROW  ICOL  CHEAD  COM  EST  HC  RERR
 1          1          0.38313807       1          1          1          2          99.975228        0.041303212      400.02477        490              5.6994473e-08   
 1          2          0.78543304       1          1          1          2          99.849021        0.063850228      400.15098        490              1.3543534e-07   
 1          3          1.2078428        1          1          1          2          99.500193        0.081694907      400.49981        490              1.7449961e-07   
 1          4          1.651373         1          1          1          2          98.800893        0.097200572      401.19911        490              2.2010445e-07   
 1          5          2.1170797        1          1          1          2          97.655187        0.11129367       402.34481        490              2.5102058e-07   
 1          6          2.6060717        1          1          1          2          96.01816         0.12445074       403.98184        490              3.2560507e-07   
 1          7          3.1195134        1          1          1          2          93.894536        0.13695397       406.10546        490              4.1722976e-07   
 1          8          3.6586271        1          1          1          2          91.325717        0.14898642       408.67428        490              5.0843347e-07   
 1          9          4.2246966        1          1          1          2          88.374249        0.1606749        411.62575        490              5.7792003e-07   
 1          10         4.8190695        1          1          1          2          85.110853        0.17211168       414.88915        490              7.0039599e-07   
 1          11         5.443161         1          1          1          2          81.605651        0.18336657       418.39435        490              8.0541138e-07   
 1          12         6.0984571        1          1          1          2          77.923257        0.19449409       422.07674        490              9.3043821e-07   
 1          13         6.7865181        1          1          1          2          74.12068         0.20553795       425.87932        490              1.0747784e-06   
 1          14         7.508982         1          1          1          2          70.247015        0.21653392       429.75299        490              1.2490335e-06   
 1          15         8.2675692        1          1          1          2          66.344091        0.22751189       433.65591        490              1.429799e-06    
 1          16         9.0640857        1          1          1          2          62.447533        0.23849719       437.55247        490              1.6472914e-06   
 1          17         9.9004281        1          1          1          2          58.5879          0.24951159       441.4121         490              1.8999899e-06   
 1          18         10.778588        1          1          1          2          54.79171         0.26057407       445.20829        490              5.1420672e-06   
 1          19         11.700655        1          1          1          2          51.082268        0.27170133       448.91773        490              5.3767388e-06   
 1          20         12.668826        1          1          1          2          47.480269        0.28290824       452.51973        490              6.8702684e-06   
 1          21         13.685405        1          1          1          2          44.004186        0.29420818       455.99581        490              1.0865565e-05   
 1          22         14.752814        1          1          1          2          40.670483        0.30561329       459.32952        490              1.5452903e-05   
 1          23         15.873592        1          1          1          2          37.493678        0.31713466       462.50632        490              1.9090639e-05   
 1          24         17.05041         1          1          1          2          34.486314        0.32878261       465.51369        490              2.1704884e-05   
 1          25         18.286069        1          1          1          2          31.658867        0.34056674       468.34113        490              2.407199e-05    
 1          26         19.58351         1          1          1          2          29.019624        0.35249613       470.98038        490              2.7121965e-05   
 1          27         20.945824        1          1          1          2          26.574569        0.36457941       473.42543        490              2.8476495e-05   
 1          28         22.376253        1          1          1          2          24.327296        0.37682488       475.6727         490              2.9619906e-05   
 1          29         23.878204        1          1          1          2          22.278953        0.38924058       477.72105        490              3.1411675e-05   
 1          30         25.455252        1          1          1          2          20.428253        0.40183434       479.57175        490              3.2242797e-05   
 1          31         27.111152        1          1          1          2          18.771534        0.41461391       481.22847        490              3.2645441e-05   
 1          32         28.849848        1          1          1          2          17.302887        0.42758691       482.69711        490              3.2676556e-05   
 1          33         30.675479        1          1          1          2          16.01434         0.440761         483.98566        490              3.3108563e-05   
 1          34         32.592391        1          1          1          2          14.896102        0.4541438        485.1039         490              3.3179598e-05   
 1          35         34.605148        1          1          1          2          13.93685         0.46774299       486.06315        490              3.2881572e-05   
 1          36         36.718544        1          1          1          2          13.124054        0.48156633       486.87595        490              3.246161e-05    
 1          37         38.937609        1          1          1          2          12.444324        0.49562167       487.55568        490              3.2176574e-05   
 1          38         41.267627        1          1          1          2          11.883772        0.509917         488.11623        490              3.1546159e-05   
 1          39         43.714147        1          1          1          2          11.428365        0.52446041       488.57163        490              3.0885009e-05   
 1          40         46.282992        1          1          1          2          11.064268        0.53926018       488.93573        490              3.0302207e-05   
 1          41         48.98028         1          1          1          2          10.778147        0.55432471       489.22185        490              2.9649474e-05   
 1          42         51.812432        1          1          1          2          10.557441        0.56966262       489.44256        490              2.8935721e-05   
 1          43         54.786192        1          1          1          2          10.390581        0.58528267       489.60942        490              2.8242866e-05   
 1          44         57.908639        1          1          1          2          10.267147        0.60119384       489.73285        490              2.7554444e-05   
 1          45         61.187209        1          1          1          2          10.177975        0.61740528       489.82202        490              2.6855148e-05   
 1          46         64.629708        1          1          1          2          10.115201        0.63392638       489.8848         490              2.6168709e-05   
 1          47         68.244331        1          1          1          2          10.072243        0.65076671       489.92776        490              2.550008e-05    
 1          48         72.039686        1          1          1          2          10.043748        0.66793605       489.95625        490              2.4852124e-05   
 1          49         76.024808        1          1          1          2          10.025486        0.68544443       489.97451        490              2.4220006e-05   
 1          50         80.209187        1          1          1          2          10.01422         0.70330206       489.98578        490              2.3607635e-05   
 1          51         84.602784        1          1          1          2          10.00756         0.72151942       489.99244        490              2.3013264e-05   
 1          52         89.216062        1          1          1          2          10.003807        0.7401072        489.99619        490              2.243632e-05    
 1          53         94.060003        1          1          1          2          10.001802        0.75907632       489.9982         490              2.1877892e-05   
 1          54         99.146141        1          1          1          2          10.000795        0.77843798       489.99921        490              2.1335885e-05   
 1          55         104.48659        1          1          1          2          10.000323        0.79820358       489.99968        490              2.0810016e-05   
 1          56         110.09405        1          1          1          2          10.000119        0.81838482       489.99988        490              2.0311517e-05   
 1          57         115.98189        1          1          1          2          10.000039        0.83899363       489.99996        490              1.983669e-05    
 1          58         122.16413        1          1          1          2          10.000011        0.8600422        489.99999        490              1.934506e-05    
 1          59         128.65547        1          1          1          2          10.000003        0.88154302       490              490              1.889383e-05    
 1          60         135.47138        1          1          1          2          10.000001        0.90350884       490              490              1.8417486e-05   
 1          61         142.62809        1          1          1          2          10               0.92595269       490              490              1.7953618e-05   
 1          62         150.14263        1          1          1          2          10               0.94888791       490              490              1.7714829e-05   
 1          63         158.0329         1          1          1          2          10               0.97232811       490              490              1.7279288e-05   
 1          64         166.31769        1          1          1          2          10               0.99628722       490              490              1.6841764e-05   
 1          65         175.01671        1          1          1          2          10               1.0207795        490              490              1.6428848e-05   
 1          66         184.15068        1          1          1          2          10               1.0458195        490              490              1.6886902e-05   
 1          67         193.74135        1          1          1          2          9.9999999        1.0714222        490              490              1.647581e-05    
 1          68         203.81156        1          1          1          2          10               1.0976026        490              490              1.6075329e-05   
 1          69         214.38528        1          1          1          2          10               1.1243766        490              490              1.5682357e-05   
 1          70         225.48768        1          1          1          2          10               1.1517598        490              490              1.5307862e-05   
 1          71         237.1452         1          1          1          2          10               1.1797688        490              490              1.4929396e-05   
 1          72         249.3856         1          1          1          2          9.9999999        1.2084201        490              490              1.4572246e-05   
 1          73         262.23802        1          1          1          2          9.9999999        1.2377308        490              490              1.4225782e-05   
 1          74         275.73305        1          1          1          2          9.9999999        1.2677183        490              490              1.3881554e-05   
 1          75         289.90284        1          1          1          2          9.9999999        1.2984005        490              490              1.3538364e-05   
 1          76         304.78113        1          1          1          2          9.9999999        1.3297957        490              490              1.32141e-05     
 1          77         320.40332        1          1          1          2          9.9999999        1.3619225        490              490              1.289966e-05    
 1          78         336.80662        1          1          1          2          9.9999998        1.3948002        490              490              1.2596657e-05   
 1          79         354.03009        1          1          1          2          9.9999996        1.4284481        490              490              1.2302559e-05   
 1          80         372.11474        1          1          1          2          9.9999992        1.4628865        490              490              1.2012757e-05   
 1          81         391.10361        1          1          1          2          9.9999985        1.4981357        490              490              1.1729942e-05   
 1          82         411.04193        1          1          1          2          9.9999971        1.5342169        490              490              1.1456206e-05   
 1          83         431.97716        1          1          1          2          9.9999946        1.5711513        490.00001        490.00001        1.118836e-05    
 1          84         453.95916        1          1          1          2          9.9999901        1.6089612        490.00001        490.00001        1.0926773e-05   
 1          85         477.04026        1          1          1          2          9.9999825        1.6476688        490.00002        490.00002        1.0669941e-05   
 1          86         501.27541        1          1          1          2          9.9999696        1.6872974        490.00003        490.00003        1.0420228e-05   
 1          87         526.72232        1          1          1          2          9.9999483        1.7278705        490.00005        490.00005        1.0177018e-05   
 1          88         553.44157        1          1          1          2          9.999914         1.7694122        490.00009        490.00009        9.9392766e-06   
 1          89         581.49679        1          1          1          2          9.9998599        1.8119473        490.00014        490.00014        9.7073711e-06   
 1          90         610.95476        1          1          1          2          9.9997761        1.855501         490.00022        490.00022        9.4817219e-06   
 1          91         641.88564        1          1          1          2          9.9996489        1.9000994        490.00035        490.00035        9.2601874e-06   
 1          92         674.36306        1          1          1          2          9.9994593        1.945769         490.00054        490.00054        9.0436586e-06   
 1          93         708.46435        1          1          1          2          9.9991819        1.9925369        490.00082        490.00082        8.8325976e-06   
 1          94         744.27071        1          1          1          2          9.9987827        2.040431         490.00122        490.00122        8.626523e-06    
 1          95         781.86738        1          1          1          2          9.9982177        2.0894797        490.00178        490.00178        8.4243945e-06   
 1          96         821.34389        1          1          1          2          9.9974305        2.1397124        490.00257        490.00257        8.2273444e-06   
 1          97         862.79422        1          1          1          2          9.9963504        2.1911589        490.00365        490.00365        8.0341152e-06   
